time,tower,x,y,battery_pct
1,A,-345.0,250.0,99.84730600517368
2,A,-340.0,250.0,99.69965534451919
3,A,-335.0,250.0,99.55686904356284
4,A,-330.0,250.0,99.41970429300932
5,A,-325.0,250.0,99.2867941914209
6,A,-320.0,250.0,99.15800543383455
7,A,-315.0,250.0,99.0332069062296
8,A,-310.0,250.0,98.91226981082262
9,A,-305.0,250.0,98.79506779487157
10,A,-300.0,250.0,98.68147708464738
11,A,-295.0,250.0,98.57137662462246
12,A,-290.0,250.0,98.46464821893645
13,A,-285.0,250.0,98.36117666618335
14,A,-280.0,250.0,98.26084986666474
15,A,-275.0,250.0,98.1635588595081
16,A,-270.0,250.0,98.06941672220515
17,A,-265.0,250.0,97.97803508698927
18,A,-260.0,250.0,97.88931048846415
19,A,-255.0,250.0,97.80313569873199
20,A,-250.0,250.0,97.71923398129675
21,A,-245.0,250.0,97.63789687042535
22,A,-240.0,250.0,97.54185711177512
23,A,-235.0,250.0,97.4491975100218
24,A,-230.0,250.0,97.35960463781215
25,A,-225.0,250.0,97.27294987959864
26,A,-220.0,250.0,97.18910629116817
27,A,-215.0,250.0,97.0905232288759
28,A,-210.0,250.0,96.99542247334917
29,A,-205.0,250.0,96.89531208681467
30,A,-200.0,250.0,96.79880831157092
31,A,-195.0,250.0,96.70570872665523
32,A,-190.0,250.0,96.62922228946773
33,A,-185.0,250.0,96.55510692607878
34,A,-180.0,250.0,96.4495924358716
35,A,-175.0,250.0,96.31348629814984
36,A,-170.0,250.0,96.18304679915074
37,A,-165.0,250.0,96.05556472008703
38,A,-160.0,250.0,95.94798070441489
39,A,-155.0,250.0,95.84555559192945
40,A,-150.0,250.0,95.7480019648323
41,A,-145.0,250.0,95.67558362445253
42,A,-140.0,250.0,95.60672165501575
43,A,-135.0,250.0,95.54122440415046
44,A,-130.0,250.0,95.48913122771371
45,A,-125.0,250.0,95.43365734400497
46,A,-120.0,250.0,95.38031570088359
47,A,-115.0,250.0,95.31216879685009
48,A,-110.0,250.0,95.24308977901791
49,A,-105.0,250.0,95.17547233389736
50,A,-100.0,250.0,95.10826461760396
51,A,-95.0,250.0,95.04155569943548
52,A,-90.0,250.0,94.9749224232252
53,A,-85.0,250.0,94.90761682676579
54,A,-80.0,250.0,94.84420525370652
55,A,-75.0,250.0,94.77934919695743
56,A,-70.0,250.0,94.71864928001095
57,A,-65.0,250.0,94.65600253629908
58,A,-60.0,250.0,94.60883132730558
59,A,-55.0,250.0,94.54396188595679
60,A,-50.0,250.0,94.49543431136853
61,A,-45.0,250.0,94.44307340636045
62,A,-40.0,250.0,94.39366637256856
63,A,-35.0,250.0,94.345400416201
64,A,-30.0,250.0,94.28209285237202
65,A,-25.0,250.0,94.22030617989921
66,A,-20.0,250.0,94.13861279445192
67,A,-15.0,250.0,94.05628146028957
68,A,-10.0,250.0,93.99058080400701
