time,tower,x,y,battery_pct
1,B,150.0,-195.0,99.9144717637633
2,B,150.0,-190.0,99.83176571600536
3,B,150.0,-185.0,99.75179177117687
4,B,150.0,-180.0,99.67650886814721
5,B,150.0,-175.0,99.60370434666429
6,B,150.0,-170.0,99.53330112813059
7,B,150.0,-165.0,99.46522251032856
8,B,150.0,-160.0,99.39939181794672
9,B,150.0,-155.0,99.33573279828153
10,B,150.0,-150.0,99.27416980086605
11,B,150.0,-145.0,99.21462788434862
12,B,150.0,-140.0,99.15703288163343
13,B,150.0,-135.0,99.10131143281885
14,B,150.0,-130.0,99.04739098864405
15,B,150.0,-125.0,98.99519978531818
16,B,150.0,-120.0,98.94466679266081
17,B,150.0,-115.0,98.8957216404659
18,B,150.0,-110.0,98.84829453159941
19,B,150.0,-105.0,98.80231615282642
20,B,150.0,-100.0,98.75771759443856
21,B,150.0,-95.0,98.71443028745003
22,B,150.0,-90.0,98.67238596382217
23,B,150.0,-85.0,98.63151664270264
24,B,150.0,-80.0,98.59175464562705
25,B,150.0,-75.0,98.55303264790982
26,B,150.0,-70.0,98.51528378805871
27,B,150.0,-65.0,98.47844192085576
28,B,150.0,-60.0,98.44244186623087
29,B,150.0,-55.0,98.40721688082513
30,B,150.0,-50.0,98.35576113736232
31,B,150.0,-45.0,98.30676741002591
32,B,150.0,-40.0,98.2305710273867
33,B,150.0,-35.0,98.14290909417244
34,B,150.0,-30.0,98.0394880453014
35,B,150.0,-25.0,97.94289630142478
36,B,150.0,-20.0,97.85262435075252
37,B,150.0,-15.0,97.7674194713202
38,B,150.0,-10.0,97.65748970186219
39,B,150.0,-5.0,97.55016894422745
40,B,150.0,0.0,97.45018648334947
41,B,150.0,5.0,97.31913345698581
42,B,150.0,10.0,97.19889321993159
43,B,150.0,15.0,97.08866610411395
44,B,150.0,20.0,96.97730665801642
45,B,150.0,25.0,96.88440440898607
46,B,150.0,30.0,96.7996750471843
47,B,150.0,35.0,96.72625865544268
48,B,150.0,40.0,96.65064659131856
49,B,150.0,45.0,96.58417041915372
50,B,150.0,50.0,96.52678100992843
51,B,150.0,55.0,96.4829208483098
52,B,150.0,60.0,96.44071556071255
53,B,150.0,65.0,96.40274875470215
54,B,150.0,70.0,96.36128605032121
55,B,150.0,75.0,96.32300424402416
56,B,150.0,80.0,96.2804443625181
57,B,150.0,85.0,96.23945076044048
58,B,150.0,90.0,96.20185907086564
59,B,150.0,95.0,96.16938514172647
60,B,150.0,100.0,96.14083628676036
61,B,150.0,105.0,96.11257646000215
62,B,150.0,110.0,96.08294302860358
63,B,150.0,115.0,96.05351068531719
64,B,150.0,120.0,96.02410675476591
65,B,150.0,125.0,96.01354038090287
66,B,150.0,130.0,96.00053751011112
67,B,150.0,135.0,95.97433929399813
68,B,150.0,140.0,95.95077394671311
69,B,150.0,145.0,95.91339972228067
70,B,150.0,150.0,95.87974235549196
71,B,150.0,155.0,95.84988226954644
72,B,150.0,160.0,95.8092865242798
73,B,150.0,165.0,95.77219373690082
74,B,150.0,170.0,95.73869925972687
75,B,150.0,175.0,95.70769517886215
76,B,150.0,180.0,95.6795948991179
77,B,150.0,185.0,95.6373534051812
78,B,150.0,190.0,95.59875559206968
79,B,150.0,195.0,95.56337609231676
80,B,150.0,200.0,95.53077612755067
81,B,150.0,205.0,95.49838038639147
82,B,150.0,210.0,95.45233504683183
83,B,150.0,215.0,95.41043495217143
84,B,150.0,220.0,95.37223251595375
85,B,150.0,225.0,95.3363730195836
86,B,150.0,230.0,95.30554388309676
87,B,150.0,235.0,95.27913160333812
88,B,150.0,240.0,95.25570503026783
89,B,150.0,245.0,95.22805892607278
90,B,147.83932826835795,387.781544901299,95.19859725805689
91,B,147.955367982883,392.8386688456554,95.18057743930855
92,B,148.11952626694836,397.9555192841272,95.16392519805824
93,B,148.32119800318537,403.12114915145116,95.14838450661048
94,B,148.54961747007067,408.32452197024793,95.13370747061826
95,B,148.7938674311746,413.5545276077559,95.12549299686816
96,B,149.04288570458212,418.7999925633719,95.10003922988774
97,B,149.2854689781487,424.0496855807059,95.07559095169464
98,B,149.51027376934738,429.2923190208295,95.05191722218572
99,B,149.70581450789663,434.5165461039257,95.0430324120392
100,B,149.8604587861707,439.7109538041361,95.03670050928228
101,B,149.96241991475708,444.86405084593156,95.03001824778362
102,B,149.99974708243275,449.96424988001297,95.02290110785985
103,B,150.0,555.0,95.00671219998986
104,B,150.0,560.11875,94.98984473449941
105,B,150.0,565.45,94.97207551460063
106,B,150.0,570.95625,94.95336833400142
107,B,150.0,576.6,94.93369729429764
108,B,150.0,582.34375,94.91304793348448
109,B,150.0,588.15,94.87743123664859
110,B,150.0,593.98125,94.84180146047689
111,B,150.0,599.8,94.80604086511144
112,B,150.0,605.56875,94.77004016280807
113,B,150.0,611.25,94.73541742179104
114,B,150.0,616.80625,94.7003802585216
115,B,150.0,622.2,94.66485065861583
116,B,150.0,642.25625,94.63553378763933
117,B,150.0,637.25625,94.60651241371576
118,B,150.0,632.25625,94.54646719515964
119,B,150.0,627.25625,94.48812665725268
120,B,150.0,622.25625,94.4314458879618
121,B,150.0,617.25625,94.3763825224509
122,B,150.0,612.25625,94.32289749762633
123,B,150.0,607.25625,94.20618107704249
124,B,150.0,602.25625,94.12235762187777
125,B,150.0,597.25625,94.04106693805011
126,B,150.0,592.25625,93.9446219263134
127,B,150.0,587.25625,93.85118378430394
128,B,150.0,582.25625,93.77266192791387
129,B,150.0,577.25625,93.6968841215639
130,B,150.0,572.25625,93.62364075533789
131,B,150.0,567.25625,93.52448482445025
132,B,150.0,562.25625,93.44280957744628
133,B,150.0,557.25625,93.36419834871595
134,B,150.0,552.25625,93.2780543118303
135,B,150.0,547.25625,93.18961919536133
136,B,150.0,542.25625,93.0986584737292
137,B,150.0,537.25625,93.01061404326428
138,B,150.0,532.25625,92.92525165325227
139,B,150.0,527.25625,92.8595640640492
140,B,150.0,522.25625,92.78071156690953
141,B,150.0,517.25625,92.7159575963751
142,B,150.0,512.25625,92.65426016962338
143,B,150.0,507.25625,92.5957276225303
144,B,150.0,502.25625,92.54014958833486
145,B,150.0,497.25625,92.48731924037887
146,B,150.0,492.25625,92.4370331548643
147,B,150.0,487.25625,92.38909117463885
148,B,150.0,482.25625,92.34329627684565
149,B,150.0,477.25625,92.29945444682399
150,B,150.0,472.25625,92.24865129855155
151,B,150.0,467.25625,92.18440721351405
152,B,150.0,462.25625,92.12465953966039
153,B,150.0,457.25625,92.05466757115417
154,B,150.0,452.25625,91.9930740307019
155,B,150.0,447.25625,91.92063939001211
156,B,150.0,442.25625,91.83778573884052
157,B,150.0,437.25625,91.75892108259563
158,B,150.0,432.25625,91.68594213183138
159,B,150.0,427.25625,91.60761227456703
160,B,150.0,422.25625,91.52528650275448
161,B,150.0,417.25625,91.45010436714297
162,B,150.0,412.25625,91.38140190871991
163,B,150.0,407.25625,91.31832901661119
164,B,150.0,402.25625,91.26046286466017
165,B,150.0,397.25625,91.21140240718238
166,B,150.0,392.25625,91.17770078457896
167,B,150.0,387.25625,91.14971547403948
168,B,150.0,382.25625,91.10770354063695
169,B,150.0,377.25625,91.06996681247864
170,B,150.0,372.25625,91.01582672623083
171,B,150.0,367.25625,90.96827299088515
172,B,150.0,362.25625,90.92436355627112
173,B,150.0,357.25625,90.88520109529435
174,B,150.0,352.25625,90.8502967631638
175,B,150.0,347.25625,90.81917978055904
176,B,150.0,342.25625,90.79139702543506
177,B,150.0,337.25625,90.76403171841937
178,B,150.0,332.25625,90.74061143430121
179,B,150.0,327.25625,90.71978190397896
180,B,150.0,322.25625,90.70158046905145
181,B,150.0,317.25625,90.66868234066891
182,B,150.0,312.25625,90.63914832884676
183,B,150.0,307.25625,90.61265397798249
184,B,150.0,302.25625,90.58854858196756
185,B,150.0,297.25625,90.56822832442782
186,B,150.0,292.25625,90.55171917014795
187,B,150.0,287.25625,90.53889072070683
188,B,150.0,282.25625,90.52776300200348
189,B,150.0,277.25625,90.51737090757985
190,B,150.0,272.25625,90.50833461201499
191,B,150.0,267.25625,90.50154582193089
192,B,150.0,262.25625,90.49056538100056
193,B,150.0,257.25625,90.48121383592849
194,B,150.0,252.25625000000002,90.47345733940298
195,B,85.85,250.0,90.46855513053296
196,B,80.15,250.0,90.46405851594805
197,B,73.8,250.0,90.45956096078267
198,B,66.875,250.0,90.45492486338993
199,B,59.45,250.0,90.44919512232666
200,B,51.6,250.0,90.42939094159334
201,B,43.39999999999999,250.0,90.39336755100783
202,B,34.925,250.0,90.35946186550132
203,B,26.25,250.0,90.32720517668396
204,B,17.45,250.0,90.29615010162819
205,B,8.599999999999998,250.0,90.24928179270368
206,B,-0.22500000000001208,250.0,90.21935466201624
207,B,-8.949999999999996,250.0,90.1895667984707
208,B,-17.5,250.0,90.14425542239368
209,B,-25.80000000000002,250.0,90.1004156956856
210,B,-33.77499999999999,250.0,90.05751556424256
211,B,-41.349999999999994,250.0,90.01294000288182
212,B,-48.45000000000002,250.0,89.97069783853021
213,B,-55.0,250.0,89.93064629624456
214,B,-61.1875,250.0,89.87586926132998
215,B,-67.25,250.0,89.8239296619748
216,B,-73.1875,250.0,89.77427138701086
217,B,-79.0,250.0,89.72427840509192
218,B,-84.6875,250.0,89.67561692266362
219,B,-90.25,250.0,89.62326253450502
220,B,-95.6875,250.0,89.57113340698938
221,B,-101.0,250.0,89.51880494759341
222,B,-106.1875,250.0,89.46587382990742
223,B,-343.628125,250.0,89.32973451574937
224,B,-338.628125,250.0,89.20667491559581
225,B,-333.628125,250.0,89.0836923099025
226,B,-328.628125,250.0,88.96067861285657
227,B,-323.628125,250.0,88.83752972650203
228,B,-318.628125,250.0,88.7141454188493
229,B,-313.628125,250.0,88.59042930171319
230,B,-308.628125,250.0,88.44498562461153
231,B,-303.628125,250.0,88.29581196935649
232,B,-298.628125,250.0,88.10815930358793
233,B,-293.628125,250.0,87.91888124574724
234,B,-288.628125,250.0,87.74264792533327
235,B,-283.628125,250.0,87.56395009599203
236,B,-278.628125,250.0,87.3850259396742
237,B,-273.628125,250.0,87.20145085745482
238,B,-268.628125,250.0,87.01770536357786
239,B,-263.628125,250.0,86.83366027624525
240,B,-258.628125,250.0,86.64630256145539
241,B,-253.628125,250.0,86.4558571597803
242,B,-248.628125,250.0,86.26467908563252
243,B,-243.628125,250.0,86.07064200432605
244,B,-238.628125,250.0,85.87324291988396
245,B,-233.628125,250.0,85.67112403331699
246,B,-228.628125,250.0,85.47307915228714
247,B,-223.628125,250.0,85.27886828220423
248,B,-218.628125,250.0,85.07148621165325
249,B,-213.628125,250.0,84.8682416350863
250,B,-208.628125,250.0,84.65207446453239
251,B,-203.628125,250.0,84.42283518122031
252,B,-198.628125,250.0,84.21273369313998
253,B,-193.628125,250.0,84.00795955756394
254,B,-188.628125,250.0,83.80812881584782
255,B,-183.628125,250.0,83.60812210904814
256,B,-178.628125,250.0,83.41299921456249
257,B,-173.628125,250.0,83.22236993176608
258,B,-168.628125,250.0,83.03584725732553
259,B,-163.628125,250.0,82.85304732197817
260,B,-158.628125,250.0,82.68454597979148
261,B,-153.628125,250.0,82.53967882512889
262,B,-148.628125,250.0,82.39900935119621
263,B,-143.628125,250.0,82.27170815774734
264,B,-138.628125,250.0,82.15705399950245
265,B,-133.628125,250.0,82.0287371050756
266,B,-128.628125,250.0,81.91294492341189
267,B,-123.62812500000001,250.0,81.80067609238407
268,B,-118.62812500000001,250.0,81.69168822106765
269,B,-113.62812500000001,250.0,81.59582552898489
270,B,-108.62812500000001,250.0,81.50991741412585
271,B,-103.62812500000001,250.0,81.42936801709315
272,B,-98.62812500000001,250.0,81.34843078803394
273,B,-93.62812500000001,250.0,81.27042951728428
274,B,-88.62812500000001,250.0,81.19548440856647
275,B,-83.62812500000001,250.0,81.12464509826904
276,B,-78.62812500000001,250.0,81.05718448836423
277,B,-73.62812500000001,250.0,80.99791279755271
278,B,-68.62812500000001,250.0,80.94197692092295
279,B,-63.62812500000001,250.0,80.88837819737627
280,B,-58.62812500000001,250.0,80.83689626009462
281,B,-53.62812500000001,250.0,80.78725503633844
282,B,-48.62812500000001,250.0,80.7391738247773
283,B,-43.62812500000001,250.0,80.69236789198725
284,B,-38.62812500000001,250.0,80.62930672469079
285,B,-33.62812500000001,250.0,80.5683636805755
286,B,-28.62812500000001,250.0,80.5091648786879
287,B,-23.62812500000001,250.0,80.45133257343007
288,B,-18.62812500000001,250.0,80.39448554590919
289,B,-13.628125000000011,250.0,80.34057845780627
290,B,-8.628125000000011,250.0,80.27802408450749
291,B,-3.6281250000000114,250.0,80.21674919589465
292,B,1.3718749999999886,250.0,80.15451222207284
293,B,6.371874999999989,250.0,80.09090603993036
294,B,11.371874999999989,250.0,80.02664740356488
295,B,16.37187499999999,250.0,79.96086626106677
296,B,21.37187499999999,250.0,79.92978259261044
297,B,26.37187499999999,250.0,79.90136077054231
298,B,31.37187499999999,250.0,79.8726316934688
299,B,36.37187499999999,250.0,79.8459550570492
300,B,41.37187499999999,250.0,79.82207722631962
301,B,46.37187499999999,250.0,79.80002218265956
302,B,51.37187499999999,250.0,79.77962032930702
