time,tower,x,y,battery_pct
1,C,150.0,-195.0,99.9297404128901
2,C,150.0,-190.0,99.86131646330935
3,C,150.0,-185.0,99.79469880953953
4,C,150.0,-180.0,99.72985826819347
5,C,150.0,-175.0,99.66676581508051
6,C,150.0,-170.0,99.60539258608617
7,C,150.0,-165.0,99.54570987806669
8,C,150.0,-160.0,99.48768914975878
9,C,150.0,-155.0,99.43130202270495
10,C,150.0,-150.0,99.37652028219489
11,C,150.0,-145.0,99.32331587822358
12,C,150.0,-140.0,99.27166092646623
13,C,150.0,-135.0,99.22152770927092
14,C,150.0,-130.0,99.17288867666927
15,C,150.0,-125.0,99.12571644740588
16,C,150.0,-120.0,99.0799838099868
17,C,150.0,-115.0,99.03566372374804
18,C,150.0,-110.0,98.9927293199445
19,C,150.0,-105.0,98.95115390285997
20,C,150.0,-100.0,98.9109109509391
21,C,150.0,-95.0,98.87197411794173
22,C,150.0,-90.0,98.83431723412089
23,C,150.0,-85.0,98.79791430742455
24,C,150.0,-80.0,98.76273952472259
25,C,150.0,-75.0,98.72876725305947
26,C,150.0,-70.0,98.69597204093378
27,C,150.0,-65.0,98.66432861960544
28,C,150.0,-60.0,98.63381190443164
29,C,150.0,-55.0,98.60439699623271
30,C,150.0,-50.0,98.57605918268881
31,C,150.0,-45.0,98.54877393976889
32,C,150.0,-40.0,98.522516933193
33,C,150.0,-35.0,98.49726401992929
34,C,150.0,-30.0,98.47299124972717
35,C,150.0,-25.0,98.44967486668811
36,C,150.0,-20.0,98.4272913108756
37,C,150.0,-15.0,98.40581721996588
38,C,150.0,-10.0,98.38522943094142
39,C,150.0,-5.0,98.3655049818287
40,C,150.0,0.0,98.34662111348264
41,C,150.0,5.0,98.32855527141933
42,C,150.0,10.0,98.31128510769994
43,C,150.0,15.0,98.29478848286756
44,C,150.0,20.0,98.27904346793994
45,C,150.0,25.0,98.26402834646085
46,C,150.0,30.0,98.24972161661275
47,C,150.0,35.0,98.23610199339416
48,C,150.0,40.0,98.22314841086497
49,C,150.0,45.0,98.21084002446348
50,C,150.0,50.0,98.19915621339878
51,C,150.0,55.0,98.18807658312288
52,C,150.0,60.0,98.1775809678873
53,C,150.0,65.0,98.16764943338858
54,C,150.0,70.0,98.15826227950846
55,C,150.0,75.0,98.1494000431543
56,C,150.0,80.0,98.14104350120616
57,C,150.0,85.0,98.1331736735772
58,C,150.0,90.0,98.12577182639517
59,C,150.0,95.0,98.11881947531293
60,C,150.0,100.0,98.11229838895721
61,C,150.0,105.0,98.10619059252541
62,C,150.0,110.0,98.10047837154131
63,C,150.0,115.0,98.0951442757821
64,C,150.0,120.0,98.09017112338968
65,C,150.0,125.0,98.08554200518137
66,C,150.0,130.0,98.08124028917695
67,C,150.0,135.0,98.0772496253601
68,C,150.0,140.0,98.07355395069574
69,C,150.0,145.0,98.07013749442658
70,C,150.0,150.0,98.06698478367566
71,C,150.0,155.0,98.06408064938559
72,C,150.0,160.0,98.0614102326287
73,C,150.0,165.0,98.05895899132827
74,C,150.0,170.0,98.05671270743649
75,C,150.0,175.0,98.05465749462206
76,C,150.0,180.0,98.05277980652896
77,C,150.0,185.0,98.051066445678
78,C,150.0,190.0,98.049504573095
79,C,150.0,195.0,98.04808171876408
80,C,100.4831905946532,204.99971179015577,98.04725631681181
81,C,100.4295061893064,209.99942358031154,98.04648621069411
82,C,100.3758217839596,214.99913537046731,98.04576241292163
83,C,100.3221373786128,219.9988471606231,98.0450764825401
84,C,100.268452973266,224.99855895077886,98.0444205633004
85,C,100.2147685679192,229.99827074093463,98.04378743123321
86,C,100.16108416257241,234.9979825310904,98.04316199274025
87,C,100.10739975722561,239.99769432124617,98.04254896941507
88,C,100.05371535187882,244.99740611140194,98.04193148141526
89,C,100.00003094653202,249.99711790155771,98.04133272081698
90,C,85.85,250.0,98.02338852231478
91,C,80.15,250.0,98.00796511273374
92,C,73.8,250.0,97.99471036680409
93,C,66.875,250.0,97.98325731864185
94,C,59.45,250.0,97.97324075495187
95,C,51.6,250.0,97.94756838669751
96,C,43.39999999999999,250.0,97.92387752477003
97,C,34.925,250.0,97.90864920230095
98,C,26.25,250.0,97.8790790733665
99,C,17.45,250.0,97.8353454057564
100,C,8.599999999999998,250.0,97.77841968937734
101,C,-0.22500000000001208,250.0,97.72691006992243
102,C,-8.949999999999996,250.0,97.67840484369357
103,C,-17.5,250.0,97.62551466031142
104,C,-25.80000000000002,250.0,97.57404447077583
105,C,-33.77499999999999,250.0,97.52481766997232
106,C,-41.349999999999994,250.0,97.47566725271304
107,C,-48.45000000000002,250.0,97.4259570473346
108,C,-55.0,250.0,97.37510411780349
109,C,-61.1875,250.0,97.28776847533103
110,C,-67.25,250.0,97.2012118910473
111,C,-73.1875,250.0,97.10769992840115
112,C,-79.0,250.0,97.01503709573905
113,C,-84.6875,250.0,96.90822742226078
114,C,-90.25,250.0,96.8147544118118
115,C,-95.6875,250.0,96.71327988874457
116,C,-101.0,250.0,96.60476250056004
117,C,-106.1875,250.0,96.50375003618787
118,C,-343.628125,250.0,96.37037529021391
119,C,-338.628125,250.0,96.23776991189276
120,C,-333.628125,250.0,96.10576372596378
121,C,-328.628125,250.0,95.97557551120697
122,C,-323.628125,250.0,95.84563304029845
123,C,-318.628125,250.0,95.71575710575972
124,C,-313.628125,250.0,95.58316566277121
125,C,-308.628125,250.0,95.45053093292374
126,C,-303.628125,250.0,95.31463890714295
127,C,-298.628125,250.0,95.18129837942146
128,C,-293.628125,250.0,95.05029823791837
129,C,-288.628125,250.0,94.92525512858727
130,C,-283.628125,250.0,94.80219035139793
131,C,-278.628125,250.0,94.69417675070562
132,C,-273.628125,250.0,94.58843752444535
133,C,-268.628125,250.0,94.48716612837451
134,C,-263.628125,250.0,94.3993398623463
135,C,-258.628125,250.0,94.31378374839707
136,C,-253.628125,250.0,94.23030216252484
137,C,-248.628125,250.0,94.14832314454583
138,C,-243.628125,250.0,94.06845858616104
139,C,-238.628125,250.0,93.9731946052867
140,C,-233.628125,250.0,93.89817468340517
141,C,-228.628125,250.0,93.82567735420211
142,C,-223.628125,250.0,93.76105545897155
143,C,-218.628125,250.0,93.6987783554462
144,C,-213.628125,250.0,93.63875215739192
145,C,-208.628125,250.0,93.58088543251343
146,C,-203.628125,250.0,93.5250893730215
147,C,-198.628125,250.0,93.47127805099248
148,C,-193.628125,250.0,93.41936888746027
149,C,-188.628125,250.0,93.3692819406965
150,C,-183.628125,250.0,93.32093753658883
151,C,-178.628125,250.0,93.2574799564083
152,C,-173.628125,250.0,93.19671239122059
153,C,-168.628125,250.0,93.121068533279
154,C,-163.628125,250.0,93.03056834155996
155,C,-158.628125,250.0,92.96032714746852
156,C,-153.628125,250.0,92.8932311863456
157,C,-148.628125,250.0,92.82900041603146
158,C,-143.628125,250.0,92.76735258028828
159,C,-138.628125,250.0,92.7192086617726
160,C,-133.628125,250.0,92.68306341225106
161,C,-128.628125,250.0,92.64707322959507
162,C,-123.62812500000001,250.0,92.61106278277343
163,C,-118.62812500000001,250.0,92.55838915118754
164,C,-113.62812500000001,250.0,92.50652283979666
165,C,-108.62812500000001,250.0,92.45521624335578
166,C,-103.62812500000001,250.0,92.40210022727857
167,C,-98.62812500000001,250.0,92.34894229863586
168,C,-93.62812500000001,250.0,92.29361844112022
169,C,-88.62812500000001,250.0,92.22093482066997
170,C,-83.62812500000001,250.0,92.17083912661597
171,C,-78.62812500000001,250.0,92.1228516511695
172,C,-73.62812500000001,250.0,92.0783739010404
173,C,-68.62812500000001,250.0,92.03587566410017
174,C,-63.62812500000001,250.0,91.99521031538988
