time,truck,x,y,z,connection
0,0,81.4,40.6,29.6,T6
0,1,201.6,151.0,69.2,T0
0,2,121.6,101.0,21.0,T4
0,3,101.6,179.6,39.5,None
0,4,348.2,120.4,30.6,None
0,5,278.4,199.0,30.8,T7
0,6,178.4,160.4,15.5,T10
0,7,21.6,199.6,10.6,None
0,8,78.6,39.4,29.5,T6
0,9,148.6,69.4,10.4,T2
0,10,100.4,178.4,39.6,None
0,11,148.6,69.4,10.4,T2
0,12,119.6,101.6,20.4,T11
0,13,148.6,69.4,10.4,T2
0,14,278.4,199.0,30.8,T7
0,15,11.4,10.6,5.5,None
0,16,221.6,120.6,49.4,T5
0,17,181.6,159.6,15.9,T1
0,18,181.6,159.6,15.9,T1
0,19,151.4,71.0,10.8,T2
0,20,258.4,140.4,59.1,T5
0,21,258.4,140.4,59.1,T5
0,22,198.4,149.0,69.0,T9
0,23,201.6,151.0,69.2,T0
0,24,198.4,149.0,69.0,T9
1,0,82.8,41.2,29.2,T6
1,1,203.2,152.0,68.4,T0
1,2,123.2,102.0,22.0,T4
1,3,103.2,179.2,39.0,None
1,4,346.4,120.8,31.2,T3
1,5,276.8,198.0,31.6,T7
1,6,176.8,160.8,16.0,T10
1,7,23.2,199.2,11.2,None
1,8,77.2,38.8,29.0,T6
1,9,147.2,68.8,10.8,T2
1,10,100.8,176.8,39.2,None
1,11,147.2,68.8,10.8,T2
1,12,119.2,103.2,20.8,T11
1,13,147.2,68.8,10.8,T2
1,14,276.8,198.0,31.6,T7
1,15,12.8,11.2,6.0,None
1,16,223.2,121.2,48.8,T5
1,17,183.2,159.2,16.8,T1
1,18,183.2,159.2,16.8,T1
1,19,152.8,72.0,11.6,T2
1,20,256.8,140.8,58.2,T5
1,21,256.8,140.8,58.2,T5
1,22,196.8,148.0,68.0,T9
1,23,203.2,152.0,68.4,T0
1,24,196.8,148.0,68.0,T9
2,0,84.2,41.8,28.8,T6
2,1,204.8,153.0,67.6,T0
2,2,124.8,103.0,23.0,T4
2,3,104.8,178.8,38.5,None
2,4,344.6,121.2,31.8,T3
2,5,275.2,197.0,32.4,T7
2,6,175.2,161.2,16.5,T10
2,7,24.8,198.8,11.8,None
2,8,75.8,38.2,28.5,T6
2,9,145.8,68.2,11.2,T2
2,10,101.2,175.2,38.8,None
2,11,145.8,68.2,11.2,T2
2,12,118.8,104.8,21.2,T11
2,13,145.8,68.2,11.2,T2
2,14,275.2,197.0,32.4,T7
2,15,14.2,11.8,6.5,None
2,16,224.8,121.8,48.2,T5
2,17,184.8,158.8,17.7,T1
2,18,184.8,158.8,17.7,T1
2,19,154.2,73.0,12.4,T2
2,20,255.2,141.2,57.3,T5
2,21,255.2,141.2,57.3,T5
2,22,195.2,147.0,67.0,T9
2,23,204.8,153.0,67.6,T0
2,24,195.2,147.0,67.0,T9
3,0,85.6,42.4,28.4,T6
3,1,206.4,154.0,66.8,T0
3,2,126.4,104.0,24.0,T4
3,3,106.4,178.4,38.0,None
3,4,342.8,121.6,32.4,T3
3,5,273.6,196.0,33.2,T7
3,6,173.6,161.6,17.0,T10
3,7,26.4,198.4,12.4,None
3,8,74.4,37.6,28.0,T6
3,9,144.4,67.6,11.6,T2
3,10,101.6,173.6,38.4,None
3,11,144.4,67.6,11.6,T2
3,12,118.4,106.4,21.6,T11
3,13,144.4,67.6,11.6,T2
3,14,273.6,196.0,33.2,T7
3,15,15.600000000000001,12.4,7.0,None
3,16,226.4,122.4,47.6,T5
3,17,186.4,158.4,18.6,T1
3,18,186.4,158.4,18.6,T1
3,19,155.6,74.0,13.2,T2
3,20,253.6,141.6,56.4,T5
3,21,253.6,141.6,56.4,T5
3,22,193.6,146.0,66.0,T9
3,23,206.4,154.0,66.8,T0
3,24,193.6,146.0,66.0,T9
4,0,87.0,43.0,28.0,T6
4,1,208.0,155.0,66.0,T0
4,2,128.0,105.0,25.0,T4
4,3,108.0,178.0,37.5,None
4,4,341.0,122.0,33.0,T3
4,5,272.0,195.0,34.0,T7
4,6,172.0,162.0,17.5,T10
4,7,28.0,198.0,13.0,None
4,8,73.0,37.0,27.5,T6
4,9,143.0,67.0,12.0,T2
4,10,102.0,172.0,38.0,None
4,11,143.0,67.0,12.0,T2
4,12,118.0,108.0,22.0,T11
4,13,143.0,67.0,12.0,T2
4,14,272.0,195.0,34.0,T7
4,15,17.0,13.0,7.5,None
4,16,228.0,123.0,47.0,T5
4,17,188.0,158.0,19.5,T1
4,18,188.0,158.0,19.5,T1
4,19,157.0,75.0,14.0,T2
4,20,252.0,142.0,55.5,T5
4,21,252.0,142.0,55.5,T5
4,22,192.0,145.0,65.0,T9
4,23,208.0,155.0,66.0,T0
4,24,192.0,145.0,65.0,T9
5,0,88.4,43.6,27.6,T6
5,1,209.6,156.0,65.2,T0
5,2,129.6,106.0,26.0,T4
5,3,109.6,177.6,37.0,None
5,4,339.2,122.4,33.6,T3
5,5,270.4,194.0,34.8,T7
5,6,170.4,162.4,18.0,T10
5,7,29.6,197.6,13.6,None
5,8,71.6,36.4,27.0,T6
5,9,141.6,66.4,12.4,T2
5,10,102.4,170.4,37.6,None
5,11,141.6,66.4,12.4,T2
5,12,117.6,109.6,22.4,T11
5,13,141.6,66.4,12.4,T2
5,14,270.4,194.0,34.8,T7
5,15,18.4,13.6,8.0,None
5,16,229.6,123.6,46.4,T5
5,17,189.6,157.6,20.4,T1
5,18,189.6,157.6,20.4,T1
5,19,158.4,76.0,14.8,T2
5,20,250.4,142.4,54.6,T5
5,21,250.4,142.4,54.6,T5
5,22,190.4,144.0,64.0,T9
5,23,209.6,156.0,65.2,T0
5,24,190.4,144.0,64.0,T9
6,0,89.8,44.2,27.2,T6
6,1,211.2,157.0,64.4,T0
6,2,131.2,107.0,27.0,T4
6,3,111.2,177.2,36.5,None
6,4,337.4,122.8,34.2,T3
6,5,268.8,193.0,35.6,T7
6,6,168.8,162.8,18.5,T10
6,7,31.200000000000003,197.2,14.2,None
6,8,70.2,35.8,26.5,T6
6,9,140.2,65.8,12.8,T2
6,10,102.8,168.8,37.2,None
6,11,140.2,65.8,12.8,T2
6,12,117.2,111.2,22.8,T11
