timestamp_min,tower_id,tower_x,tower_y,tower_z,move_pw,idle_pw,mesh_pw,truck_pw,total_pw,volt,batt_pct,current_A,ah_step,energy_wh,conn_trucks,conn_towers,T0_x,T0_y,T0_z,T0_dist2D_tower,T0_conn,T1_x,T1_y,T1_z,T1_dist2D_tower,T1_conn,T2_x,T2_y,T2_z,T2_dist2D_tower,T2_conn,T3_x,T3_y,T3_z,T3_dist2D_tower,T3_conn,T4_x,T4_y,T4_z,T4_dist2D_tower,T4_conn,T5_x,T5_y,T5_z,T5_dist2D_tower,T5_conn,T6_x,T6_y,T6_z,T6_dist2D_tower,T6_conn,T7_x,T7_y,T7_z,T7_dist2D_tower,T7_conn,T8_x,T8_y,T8_z,T8_dist2D_tower,T8_conn,T9_x,T9_y,T9_z,T9_dist2D_tower,T9_conn,T10_x,T10_y,T10_z,T10_dist2D_tower,T10_conn,T11_x,T11_y,T11_z,T11_dist2D_tower,T11_conn,T12_x,T12_y,T12_z,T12_dist2D_tower,T12_conn,T13_x,T13_y,T13_z,T13_dist2D_tower,T13_conn,T14_x,T14_y,T14_z,T14_dist2D_tower,T14_conn,T15_x,T15_y,T15_z,T15_dist2D_tower,T15_conn,T16_x,T16_y,T16_z,T16_dist2D_tower,T16_conn,T17_x,T17_y,T17_z,T17_dist2D_tower,T17_conn,T18_x,T18_y,T18_z,T18_dist2D_tower,T18_conn,T19_x,T19_y,T19_z,T19_dist2D_tower,T19_conn,T20_x,T20_y,T20_z,T20_dist2D_tower,T20_conn,T21_x,T21_y,T21_z,T21_dist2D_tower,T21_conn,T22_x,T22_y,T22_z,T22_dist2D_tower,T22_conn,T23_x,T23_y,T23_z,T23_dist2D_tower,T23_conn,T24_x,T24_y,T24_z,T24_dist2D_tower,T24_conn,T25_x,T25_y,T25_z,T25_dist2D_tower,T25_conn,T26_x,T26_y,T26_z,T26_dist2D_tower,T26_conn,T27_x,T27_y,T27_z,T27_dist2D_tower,T27_conn,T28_x,T28_y,T28_z,T28_dist2D_tower,T28_conn,T29_x,T29_y,T29_z,T29_dist2D_tower,T29_conn
0.017,2,150.0,648.24,-111.86,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4981,,1,150.0,770.0,-166.97,121.76,1,650.0,350.0,6.39,582.19,None,-100.0,500.0,-18.31,290.65,1,0.0,-270.0,-103.72,930.41,0,-150.0,450.0,-21.45,359.58,1,-150.0,400.0,-21.11,389.39,None,700.0,300.0,4.48,650.98,None,700.0,-170.0,-148.78,985.91,None,-300.0,320.0,-165.3,556.99,None,-500.0,420.0,-65.39,688.91,None,-150.0,400.0,-21.11,389.39,None,650.0,200.0,17.54,671.5,None,650.0,200.0,17.54,671.5,None,650.0,300.0,7.92,609.32,None,650.0,200.0,17.54,671.5,None,-300.0,320.0,-165.3,556.99,None,-450.0,370.0,-148.64,661.37,None,600.0,-290.0,-100.36,1040.57,None,150.0,-320.0,-189.25,968.24,0,750.0,200.0,11.81,748.94,None,750.0,-170.0,-89.17,1014.65,None,700.0,150.0,16.43,742.12,None,-100.0,350.0,-17.28,389.16,None,600.0,-290.0,-100.36,1040.57,None,-500.0,420.0,-65.39,688.91,None,500.0,-170.0,-136.28,889.95,0,-570.0,50.0,-9.57,936.1,None,750.0,200.0,11.81,748.94,None,220.0,320.0,19.8,335.62,1,-100.0,350.0,-17.28,389.16,None
0.033,2,150.0,646.48,-110.91,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4961,,1,122.41,758.96,-162.88,115.82,1,620.05,350.0,8.03,555.73,None,-100.0,470.0,-18.03,306.01,1,0.0,-250.0,-114.34,908.94,0,-120.08,450.0,-19.29,333.98,1,-128.81,421.19,-19.73,358.45,1,700.0,329.99,3.74,634.56,None,700.0,-150.0,-154.15,967.92,None,-300.0,300.0,-164.92,567.93,None,-500.0,400.0,-82.21,695.16,None,-128.81,421.19,-19.73,358.45,1,620.12,200.0,14.82,648.35,None,679.96,200.0,16.04,692.97,None,620.1,300.0,10.32,583.98,None,620.12,200.0,14.82,648.35,None,-300.0,300.0,-164.92,567.93,None,-450.0,350.0,-155.45,669.25,None,572.21,-278.88,-98.37,1017.13,None,122.55,-309.02,-184.16,955.89,0,720.06,200.0,13.74,724.09,None,750.0,-150.0,-99.79,997.18,None,700.0,179.99,15.59,721.19,None,-100.0,380.0,-17.45,365.39,1,572.21,-278.88,-98.37,1017.13,None,-500.0,400.0,-82.21,695.16,None,500.0,-150.0,-146.26,869.99,0,-550.0,50.0,-22.76,919.67,None,720.06,200.0,13.74,724.09,None,210.0,310.0,19.63,341.78,1,-100.0,380.0,-17.45,365.39,1
0.05,2,150.0,644.72,-109.96,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4942,,1,100.0,750.0,-159.56,116.55,1,600.0,350.0,9.13,537.92,None,-100.0,450.0,-17.85,316.88,1,20.46,-229.54,-122.25,883.8,0,-100.0,450.0,-17.85,316.88,1,-107.62,442.38,-18.35,327.58,1,700.0,350.0,3.25,623.98,None,679.18,-129.18,-148.39,937.52,None,-300.0,270.17,-161.71,585.48,None,-470.16,400.0,-85.26,666.69,None,-107.62,442.38,-18.35,327.58,1,600.0,200.0,12.99,632.67,None,700.0,200.0,15.03,707.3,None,600.0,300.0,11.93,566.86,None,600.0,200.0,12.99,632.67,None,-300.0,270.17,-161.71,585.48,None,-420.11,350.0,-152.88,641.78,None,544.41,-267.77,-96.38,994.07,None,100.0,-300.0,-179.97,946.04,0,700.0,200.0,15.03,707.3,None,729.74,-129.74,-108.67,967.4,None,700.0,200.0,15.03,707.3,None,-100.0,410.0,-17.62,342.92,1,544.41,-267.77,-96.38,994.07,None,-470.16,400.0,-85.26,666.69,None,520.82,-129.18,-140.52,858.15,0,-520.24,50.0,-26.58,896.05,None,700.0,200.0,15.03,707.3,None,200.51,281.54,19.69,366.67,1,-100.0,410.0,-17.62,342.92,1
0.067,2,150.0,642.95,-109.02,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4922,,1,79.15,729.15,-154.04,111.58,1,600.0,320.05,10.81,553.87,None,-73.24,436.62,-15.63,303.99,1,40.92,-209.08,-130.16,858.98,0,-73.24,436.62,-15.63,303.99,1,-100.0,450.0,-17.85,315.8,1,670.06,350.0,5.13,596.89,None,658.36,-108.36,-142.64,907.14,None,-300.0,250.0,-159.54,597.42,None,-440.31,400.0,-88.32,638.35,None,-100.0,450.0,-17.85,315.8,1,600.0,229.88,15.64,610.84,None,729.94,200.0,13.11,729.75,None,600.0,270.18,15.21,584.35,None,600.0,171.6,3.32,651.67,None,-300.0,250.0,-159.54,597.42,None,-390.22,350.0,-150.31,614.54,None,516.62,-256.65,-94.39,971.44,0,79.17,-279.17,-174.3,924.84,0,670.04,200.0,16.54,683.12,None,709.47,-109.47,-117.55,937.64,None,670.04,200.0,16.54,683.12,None,-100.0,440.0,-17.79,322.01,1,516.62,-256.65,-94.39,971.44,0,-440.31,400.0,-88.32,638.35,None,541.64,-108.36,-134.79,847.26,None,-490.49,50.0,-30.4,872.82,None,670.04,200.0,16.54,683.12,None,200.0,280.0,19.69,366.38,1,-100.0,440.0,-17.79,322.01,1
0.083,2,150.0,641.19,-108.07,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4903,,1,58.3,708.3,-148.51,113.63,1,600.0,300.0,11.93,564.72,None,-46.48,423.24,-13.42,293.44,1,50.0,-200.0,-133.67,847.12,0,-46.48,423.24,-13.42,293.44,1,-73.24,436.62,-15.63,302.8,1,650.0,350.0,6.39,578.61,None,650.0,-100.0,-140.33,894.07,None,-278.06,250.0,-139.08,579.88,None,-410.47,400.0,-91.37,610.16,None,-73.24,436.62,-15.63,302.8,1,600.0,250.0,17.42,596.26,None,750.0,200.0,11.81,744.75,None,600.0,250.0,17.42,596.26,None,600.0,143.2,-6.35,671.19,None,-278.06,250.0,-139.08,579.88,None,-360.33,350.0,-147.75,587.56,None,500.0,-250.0,-93.2,957.46,0,58.34,-258.34,-168.63,904.19,0,650.0,200.0,17.54,666.82,None,700.0,-100.0,-121.7,922.97,None,650.0,200.0,17.54,666.82,None,-100.0,450.0,-17.85,314.73,1,500.0,-250.0,-93.2,957.46,0,-410.47,400.0,-91.37,610.16,None,550.0,-100.0,-132.48,842.24,None,-460.73,50.0,-34.22,850.0,None,650.0,200.0,17.54,666.82,None,180.0,280.0,15.05,362.44,1,-100.0,450.0,-17.85,314.73,1
0.1,2,150.0,639.43,-107.12,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4883,,1,50.0,700.0,-146.31,116.91,1,600.0,270.18,15.21,582.11,None,-19.72,409.86,-11.2,285.5,1,78.45,-200.0,-143.2,842.48,0,-19.72,409.86,-11.2,285.5,1,-46.48,423.24,-13.42,292.14,1,620.05,350.0,8.03,552.01,None,621.47,-100.0,-131.05,876.95,None,-256.11,250.0,-118.62,562.66,None,-380.62,400.0,-94.43,582.14,None,-46.48,423.24,-13.42,292.14,1,570.04,250.0,18.88,572.79,None,750.0,225.0,9.25,729.21,None,570.04,250.0,18.88,572.79,None,600.0,114.81,-16.03,691.18,None,-256.11,250.0,-118.62,562.66,None,-350.0,350.0,-146.86,577.73,None,486.61,-223.21,-91.47,925.99,0,50.0,-250.0,-166.36,895.03,0,620.12,200.0,14.82,643.52,None,671.89,-100.0,-132.17,905.06,None,620.12,200.0,14.82,643.52,None,-73.24,436.62,-15.63,301.61,1,486.61,-223.21,-91.47,925.99,0,-380.62,400.0,-94.43,582.14,None,579.58,-100.0,-127.5,855.16,None,-430.98,50.0,-38.04,827.62,None,620.12,200.0,14.82,643.52,None,158.81,258.81,16.55,380.72,1,-73.24,436.62,-15.63,301.61,1
0.117,2,150.0,637.67,-106.18,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4864,,1,70.34,679.66,-137.78,90.05,1,600.0,250.0,17.42,593.96,None,0.0,400.0,-9.57,281.05,1,100.0,-200.0,-150.42,839.16,0,0.0,400.0,-9.57,281.05,1,-19.72,409.86,-11.2,284.08,1,600.0,350.0,9.13,534.09,None,600.0,-100.0,-124.06,864.09,None,-250.0,250.0,-112.92,557.03,None,-350.78,400.0,-97.48,554.32,None,-19.72,409.86,-11.2,284.08,1,540.07,250.0,20.33,549.95,None,750.0,254.83,6.09,711.73,None,540.07,250.0,20.33,549.95,None,600.0,100.0,-21.07,701.13,None,-250.0,250.0,-112.92,557.03,None,-350.0,371.36,-125.8,566.5,None,473.21,-196.42,-89.73,894.53,0,70.69,-229.31,-159.77,870.59,0,600.0,200.0,12.99,627.74,None,650.0,-100.0,-140.33,891.15,None,600.0,200.0,12.99,627.74,None,-46.48,423.24,-13.42,290.83,1,473.21,-196.42,-89.73,894.53,0,-350.78,400.0,-97.48,554.32,None,600.0,-100.0,-124.06,864.09,None,-401.22,50.0,-41.86,805.73,None,600.0,200.0,12.99,627.74,None,150.0,250.0,17.17,387.67,None,-46.48,423.24,-13.42,290.83,1
0.133,2,150.0,635.91,-105.23,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4844,,1,90.67,659.33,-129.25,63.78,1,570.04,250.0,18.88,570.4,None,21.02,378.98,-5.51,287.48,1,127.93,-200.0,-139.48,836.2,0,21.02,378.98,-5.51,287.48,1,0.0,400.0,-9.57,279.56,1,600.0,380.0,9.28,517.68,None,600.0,-73.44,-110.11,840.04,None,-230.15,250.0,-90.43,541.7,None,-350.0,400.0,-97.56,552.86,None,0.0,400.0,-9.57,279.56,1,510.11,250.0,21.79,527.83,None,750.0,275.0,3.96,700.18,None,510.11,250.0,21.79,527.83,None,600.0,73.22,-34.59,720.5,None,-230.15,250.0,-90.43,541.7,None,-350.0,392.73,-104.73,556.0,None,459.82,-169.64,-87.99,863.07,0,91.39,-208.61,-153.17,846.55,0,600.0,229.88,15.64,606.1,None,621.47,-100.0,-131.05,873.98,None,600.0,229.88,15.64,606.1,None,-19.72,409.86,-11.2,282.67,1,459.82,-169.64,-87.99,863.07,0,-350.0,400.0,-97.56,552.86,None,600.0,-73.44,-110.11,840.04,None,-371.46,50.0,-45.67,784.36,None,600.0,171.6,3.32,646.59,None,120.06,250.0,15.33,387.07,None,-19.72,409.86,-11.2,282.67,1
0.15,2,150.0,634.15,-104.28,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4825,,1,100.0,650.0,-125.34,52.45,1,540.07,250.0,20.33,547.47,None,42.04,357.96,-1.45,296.53,1,150.0,-200.0,-130.84,834.15,0,42.04,357.96,-1.45,296.53,1,21.02,378.98,-5.51,285.91,1,600.0,400.0,9.38,507.27,None,600.0,-46.88,-96.17,816.27,None,-210.29,250.0,-67.94,526.67,None,-350.0,378.64,-118.62,561.5,None,21.02,378.98,-5.51,285.91,1,500.0,250.0,22.28,519.68,None,750.0,300.0,2.57,686.77,None,500.0,250.0,22.28,519.68,None,600.0,46.44,-48.11,740.2,None,-210.29,250.0,-67.94,526.67,None,-350.0,400.0,-97.56,552.11,None,450.0,-150.0,-86.71,839.57,0,100.0,-200.0,-150.42,835.64,0,600.0,250.0,17.42,591.67,None,600.0,-100.0,-124.06,861.09,None,600.0,250.0,17.42,591.67,None,0.0,400.0,-9.57,278.07,1,450.0,-150.0,-86.71,839.57,0,-350.0,378.64,-118.62,561.5,None,600.0,-46.88,-96.17,816.27,None,-350.0,50.0,-48.43,768.91,None,600.0,143.2,-6.35,665.98,None,120.0,250.0,15.33,385.32,None,0.0,400.0,-9.57,278.07,1
0.167,2,150.0,632.38,-103.33,4,3,0.0,0,7.0,26.5,100.0,0.2642,7.3e-05,397.4806,,1,129.1,650.0,-118.04,27.33,1,510.11,250.0,21.79,525.26,None,50.0,350.0,0.09,299.57,1,150.0,-173.93,-116.0,806.31,0,50.0,350.0,0.09,299.57,1,42.04,357.96,-1.45,294.89,1,600.0,430.0,9.81,493.42,None,600.0,-20.32,-82.22,792.79,None,-200.0,250.0,-56.28,518.38,None,-350.0,357.27,-139.69,570.69,None,42.04,357.96,-1.45,294.89,1,470.01,250.0,23.07,498.62,None,720.02,300.0,3.71,659.85,None,470.01,250.0,23.07,498.62,None,600.0,19.66,-61.63,760.22,None,-200.0,250.0,-56.28,518.38,None,-323.26,386.63,-95.08,533.26,None,470.2,-129.8,-95.89,826.71,0,127.93,-200.0,-139.48,832.68,0,570.04,250.0,18.88,568.02,None,600.0,-73.44,-110.11,837.07,None,570.04,250.0,18.88,568.02,None,21.02,378.98,-5.51,284.34,1,470.2,-129.8,-95.89,826.71,0,-350.0,357.27,-139.69,570.69,None,600.0,-20.32,-82.22,792.79,None,-321.57,59.48,-49.85,742.03,None,600.0,114.81,-16.03,685.85,None,100.0,250.0,12.25,385.64,None,21.02,378.98,-5.51,284.34,1
