datetime,tower_id,x_m,y_m,z_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,14,-13.25,407.98,0.0,31.31,25.93,350.25,0.07,172.28,98.79,100.0
2026-05-15 00:05:00,14,-13.25,407.98,0.0,30.98,28.0,268.31,0.13,128.7,87.82,100.0
2026-05-15 00:10:00,14,-13.25,407.98,0.0,30.47,28.73,303.97,0.1,135.42,89.62,98.75
2026-05-15 00:15:00,14,-13.25,407.98,0.0,30.22,28.13,300.8,0.09,143.26,91.35,99.62
2026-05-15 00:20:00,14,-13.25,407.98,0.0,30.89,26.06,241.17,0.14,116.92,100.77,98.86
2026-05-15 00:25:00,14,-13.25,407.98,0.0,30.21,29.59,187.8,0.25,84.89,80.2,98.44
2026-05-15 00:30:00,14,-13.25,407.98,0.0,31.58,30.6,200.9,0.24,92.53,81.75,99.69
2026-05-15 00:35:00,14,-13.25,407.98,0.0,31.28,31.47,241.84,0.17,119.01,86.96,100.0
2026-05-15 00:40:00,14,-13.25,407.98,0.0,31.04,30.0,246.94,0.16,113.17,85.2,98.16
2026-05-15 00:45:00,14,-13.25,407.98,0.0,32.13,31.0,323.28,0.09,157.07,96.09,99.73
2026-05-15 00:50:00,14,-13.25,407.98,0.0,31.2,32.4,269.51,0.15,137.36,91.48,99.86
2026-05-15 00:55:00,14,-13.25,407.98,0.0,31.67,30.86,270.82,0.13,127.44,88.54,96.56
2026-05-15 01:00:00,14,-13.25,407.98,0.0,31.07,31.8,304.7,0.11,130.83,89.61,97.79
2026-05-15 01:05:00,14,-13.25,407.98,0.0,30.72,31.87,226.71,0.19,110.03,85.29,97.48
2026-05-15 01:10:00,14,-13.25,407.98,0.0,31.65,32.33,251.21,0.16,118.69,87.17,97.33
2026-05-15 01:15:00,14,-13.25,407.98,0.0,30.94,34.34,252.24,0.17,121.8,88.57,97.98
2026-05-15 01:20:00,14,-13.25,407.98,0.0,31.54,32.4,273.73,0.14,137.08,91.39,96.64
2026-05-15 01:25:00,14,-13.25,407.98,0.0,32.34,29.54,219.36,0.19,98.21,82.26,98.19
2026-05-15 01:30:00,14,-13.25,407.98,0.0,31.15,31.67,283.18,0.13,133.09,90.15,97.63
2026-05-15 01:35:00,14,-13.25,407.98,0.0,31.69,35.94,261.5,0.15,119.98,88.69,96.76
2026-05-15 01:40:00,14,-13.25,407.98,0.0,31.38,33.61,100.46,1.03,44.7,78.48,98.3
2026-05-15 01:45:00,14,-13.25,407.98,0.0,32.07,34.08,324.4,0.1,150.89,95.48,98.07
2026-05-15 01:50:00,14,-13.25,407.98,0.0,32.33,33.01,230.32,0.21,105.19,104.06,96.49
2026-05-15 01:55:00,14,-13.25,407.98,0.0,32.25,34.07,220.28,0.24,99.0,84.09,97.38
2026-05-15 02:00:00,14,-13.25,407.98,0.0,32.19,32.48,207.95,0.25,106.79,84.99,96.05
2026-05-15 02:05:00,14,-13.25,407.98,0.0,31.64,33.75,184.15,0.32,86.26,82.01,95.4
2026-05-15 02:10:00,14,-13.25,407.98,0.0,31.65,33.42,260.5,0.16,120.97,88.04,97.32
2026-05-15 02:15:00,14,-13.25,407.98,0.0,31.81,32.28,248.84,0.17,119.41,87.33,95.53
2026-05-15 02:20:00,14,-13.25,407.98,0.0,32.09,30.82,273.2,0.13,135.27,90.37,97.29
2026-05-15 02:25:00,14,-13.25,407.98,0.0,31.95,36.15,263.86,0.17,130.32,91.14,97.25
2026-05-15 02:30:00,14,-13.25,407.98,0.0,33.07,31.95,184.98,0.3,79.42,80.32,96.01
2026-05-15 02:35:00,14,-13.25,407.98,0.0,31.4,32.29,359.47,0.08,160.86,97.61,97.05
2026-05-15 02:40:00,14,-13.25,407.98,0.0,31.88,33.36,328.43,0.1,153.47,95.93,94.27
2026-05-15 02:45:00,14,-13.25,407.98,0.0,32.33,33.15,310.01,0.1,147.58,94.27,95.91
2026-05-15 02:50:00,14,-13.25,407.98,0.0,32.29,33.82,273.4,0.15,123.32,88.68,95.84
2026-05-15 02:55:00,14,-13.25,407.98,0.0,33.38,32.29,218.03,0.21,97.98,83.22,95.98
2026-05-15 03:00:00,14,-13.25,407.98,0.0,32.13,30.69,287.45,0.12,143.13,92.28,95.2
2026-05-15 03:05:00,14,-13.25,407.98,0.0,33.6,31.29,292.55,0.12,134.95,90.44,94.42
2026-05-15 03:10:00,14,-13.25,407.98,0.0,34.48,32.69,157.37,0.43,76.96,80.5,95.75
2026-05-15 03:15:00,14,-13.25,407.98,0.0,33.24,31.03,223.49,0.21,102.8,83.65,94.86
2026-05-15 03:20:00,14,-13.25,407.98,0.0,33.19,29.76,219.98,0.19,105.73,83.72,95.47
2026-05-15 03:25:00,14,-13.25,407.98,0.0,33.66,29.97,328.73,0.09,154.7,95.07,94.64
2026-05-15 03:30:00,14,-13.25,407.98,0.0,34.12,32.03,212.43,0.22,96.24,82.85,93.62
2026-05-15 03:35:00,14,-13.25,407.98,0.0,33.12,28.5,229.64,0.19,109.86,84.08,95.08
2026-05-15 03:40:00,14,-13.25,407.98,0.0,34.45,30.04,221.81,0.21,105.59,83.83,93.37
2026-05-15 03:45:00,14,-13.25,407.98,0.0,34.91,30.17,222.78,0.2,107.22,84.17,93.21
2026-05-15 03:50:00,14,-13.25,407.98,0.0,34.37,29.04,152.14,0.39,76.9,79.13,95.7
2026-05-15 03:55:00,14,-13.25,407.98,0.0,35.07,25.64,319.24,0.08,164.76,96.43,93.45
2026-05-15 04:00:00,14,-13.25,407.98,0.0,34.04,27.77,266.76,0.12,127.5,87.45,93.28
2026-05-15 04:05:00,14,-13.25,407.98,0.0,34.33,26.77,336.39,0.06,160.36,95.5,93.85
2026-05-15 04:10:00,14,-13.25,407.98,0.0,34.77,25.3,334.31,0.07,161.64,95.37,94.41
2026-05-15 04:15:00,14,-13.25,407.98,0.0,34.15,27.64,301.03,0.09,142.98,91.11,92.89
2026-05-15 04:20:00,14,-13.25,407.98,0.0,34.73,24.97,238.72,0.15,108.31,82.46,93.21
2026-05-15 04:25:00,14,-13.25,407.98,0.0,35.42,24.03,275.65,0.1,119.88,84.41,93.87
2026-05-15 04:30:00,14,-13.25,407.98,0.0,35.02,23.57,211.24,0.17,101.16,80.66,94.3
2026-05-15 04:35:00,14,-13.25,407.98,0.0,34.87,23.77,246.66,0.13,116.67,83.69,93.11
2026-05-15 04:40:00,14,-13.25,407.98,0.0,35.39,23.5,276.77,0.09,123.73,85.05,91.5
2026-05-15 04:45:00,14,-13.25,407.98,0.0,35.09,22.44,244.33,0.12,120.47,84.02,92.4
2026-05-15 04:50:00,14,-13.25,407.98,0.0,35.78,22.97,258.8,0.1,124.19,84.99,91.12
2026-05-15 04:55:00,14,-13.25,407.98,0.0,35.58,20.44,206.53,0.15,100.91,79.48,92.65
2026-05-15 05:00:00,14,-13.25,407.98,0.0,36.06,19.97,291.09,0.08,129.24,85.05,90.11
2026-05-15 05:05:00,14,-13.25,407.98,0.0,35.8,20.37,288.78,0.07,143.07,88.56,90.8
2026-05-15 05:10:00,14,-13.25,407.98,0.0,36.74,20.04,301.84,0.07,136.54,86.8,90.84
2026-05-15 05:15:00,14,-13.25,407.98,0.0,35.79,17.97,278.2,0.08,131.15,84.79,90.58
2026-05-15 05:20:00,14,-13.25,407.98,0.0,36.57,17.23,204.59,0.14,94.7,77.25,93.27
2026-05-15 05:25:00,14,-13.25,407.98,0.0,37.0,17.23,231.37,0.11,108.15,79.65,91.36
2026-05-15 05:30:00,14,-13.25,407.98,0.0,36.86,18.37,282.81,0.07,123.18,83.09,91.48
2026-05-15 05:35:00,14,-13.25,407.98,0.0,37.64,18.17,287.19,0.07,120.34,98.05,89.48
2026-05-15 05:40:00,14,-13.25,407.98,0.0,37.2,18.64,264.25,0.08,119.73,82.45,90.88
2026-05-15 05:45:00,14,-13.25,407.98,0.0,38.05,17.3,199.81,0.14,91.94,76.81,90.08
2026-05-15 05:50:00,14,-13.25,407.98,0.0,37.93,13.36,242.12,0.07,115.96,79.79,91.49
2026-05-15 05:55:00,14,-13.25,407.98,0.0,37.89,16.77,206.38,0.14,87.19,75.86,92.91
2026-05-15 06:00:00,14,-13.25,407.98,0.0,37.66,14.3,305.51,0.05,150.13,88.26,90.94
2026-05-15 06:05:00,14,-13.25,407.98,0.0,38.98,15.57,183.33,0.14,84.24,74.99,90.58
2026-05-15 06:10:00,14,-13.25,407.98,0.0,37.93,11.49,227.14,0.06,106.62,77.24,88.77
2026-05-15 06:15:00,14,-13.25,407.98,0.0,38.84,13.5,237.22,0.08,115.66,79.8,89.98
2026-05-15 06:20:00,14,-13.25,407.98,0.0,38.95,13.37,258.24,0.07,124.62,81.67,90.37
2026-05-15 06:25:00,14,-13.25,407.98,0.0,39.59,11.3,276.3,0.05,123.85,80.73,90.68
2026-05-15 06:30:00,14,-13.25,407.98,0.0,38.99,12.5,232.9,0.08,113.78,79.06,89.5
2026-05-15 06:35:00,14,-13.25,407.98,0.0,38.53,11.5,209.32,0.08,108.08,77.57,89.55
2026-05-15 06:40:00,14,-13.25,407.98,0.0,39.04,10.23,283.67,0.04,140.51,84.3,90.64
2026-05-15 06:45:00,14,-13.25,407.98,0.0,39.27,8.42,180.37,0.08,85.22,72.52,87.82
2026-05-15 06:50:00,14,-13.25,407.98,0.0,38.89,10.77,300.17,0.04,134.15,82.92,90.23
2026-05-15 06:55:00,14,-13.25,407.98,0.0,39.8,8.96,250.27,0.05,115.46,78.11,88.59
2026-05-15 07:00:00,14,-13.25,407.98,0.0,39.98,9.5,190.89,0.08,88.21,73.36,88.34
2026-05-15 07:05:00,14,-13.25,407.98,0.0,39.67,6.29,251.44,0.03,115.28,77.09,89.78
2026-05-15 07:10:00,14,-13.25,407.98,0.0,40.56,8.09,279.29,0.03,140.13,83.44,89.58
2026-05-15 07:15:00,14,-13.25,407.98,0.0,40.7,9.7,220.89,0.07,108.51,77.01,88.67
2026-05-15 07:20:00,14,-13.25,407.98,0.0,40.39,8.76,231.52,0.05,109.18,76.77,86.99
2026-05-15 07:25:00,14,-13.25,407.98,0.0,40.99,8.9,275.94,0.04,137.31,83.04,88.6
2026-05-15 07:30:00,14,-13.25,407.98,0.0,41.4,8.63,298.24,0.03,140.03,83.61,88.89
2026-05-15 07:35:00,14,-13.25,407.98,0.0,40.08,6.69,384.68,0.01,175.04,92.81,88.85
2026-05-15 07:40:00,14,-13.25,407.98,0.0,40.8,8.56,179.83,0.09,83.06,72.26,89.31
2026-05-15 07:45:00,14,-13.25,407.98,0.0,40.56,8.3,228.73,0.05,106.9,76.16,89.96
