datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,3,441.05,683.34,31.35,177.27,206.31,1.33,99.03,133.6,99.78
2026-05-15 00:05:00,3,441.05,683.34,31.63,188.08,291.36,0.71,139.85,144.92,99.54
2026-05-15 00:10:00,3,441.05,683.34,30.66,193.9,260.82,0.91,125.19,143.85,99.3
2026-05-15 00:15:00,3,441.05,683.34,31.34,188.34,235.44,1.08,113.01,139.64,99.06
2026-05-15 00:20:00,3,441.05,683.34,31.48,198.23,271.29,0.86,130.22,146.43,98.82
2026-05-15 00:25:00,3,441.05,683.34,30.07,192.74,279.45,0.79,134.14,145.3,98.58
2026-05-15 00:30:00,3,441.05,683.34,30.29,196.27,285.83,0.76,137.2,147.22,98.33
2026-05-15 00:35:00,3,441.05,683.34,31.4,212.64,259.58,1.0,124.6,150.46,98.08
2026-05-15 00:40:00,3,441.05,683.34,30.67,219.94,266.11,0.99,127.73,153.71,97.82
2026-05-15 00:45:00,3,441.05,683.34,30.03,206.79,319.76,0.64,153.48,154.92,97.57
2026-05-15 00:50:00,3,441.05,683.34,30.75,207.06,318.07,0.65,152.68,154.81,97.31
2026-05-15 00:55:00,3,441.05,683.34,30.83,219.43,285.63,0.86,137.1,155.5,97.05
2026-05-15 01:00:00,3,441.05,683.34,30.5,204.79,284.11,0.81,136.37,150.1,96.8
2026-05-15 01:05:00,3,441.05,683.34,30.31,224.53,233.5,1.31,112.08,152.58,96.54
2026-05-15 01:10:00,3,441.05,683.34,30.97,226.96,282.43,0.91,135.57,157.86,96.28
2026-05-15 01:15:00,3,441.05,683.34,32.24,223.93,317.83,0.71,152.56,160.81,96.01
2026-05-15 01:20:00,3,441.05,683.34,30.71,220.67,309.98,0.73,148.79,158.68,95.75
2026-05-15 01:25:00,3,441.05,683.34,30.97,217.34,289.29,0.83,138.86,155.15,95.49
2026-05-15 01:30:00,3,441.05,683.34,31.15,214.43,215.69,1.47,103.53,147.7,95.24
2026-05-15 01:35:00,3,441.05,683.34,32.31,222.15,207.31,1.65,99.51,150.03,94.99
2026-05-15 01:40:00,3,441.05,683.34,31.84,219.37,227.77,1.35,109.33,150.3,94.74
2026-05-15 01:45:00,3,441.05,683.34,31.9,227.65,286.94,0.88,137.73,158.58,94.48
2026-05-15 01:50:00,3,441.05,683.34,31.22,216.58,295.41,0.79,141.8,155.54,94.22
2026-05-15 01:55:00,3,441.05,683.34,32.05,229.89,264.82,1.04,127.11,157.15,93.96
2026-05-15 02:00:00,3,441.05,683.34,31.87,225.4,271.51,0.97,130.33,156.18,93.7
2026-05-15 02:05:00,3,441.05,683.34,32.15,219.0,229.17,1.33,110.0,150.27,93.45
2026-05-15 02:10:00,3,441.05,683.34,32.19,225.35,283.44,0.89,136.05,157.38,93.19
2026-05-15 02:15:00,3,441.05,683.34,32.32,226.47,258.03,1.08,123.85,155.3,92.93
2026-05-15 02:20:00,3,441.05,683.34,31.88,220.23,284.16,0.87,136.39,155.63,92.67
2026-05-15 02:25:00,3,441.05,683.34,32.63,218.94,291.04,0.82,139.7,155.9,92.41
2026-05-15 02:30:00,3,441.05,683.34,33.11,216.67,223.09,1.39,107.08,149.0,92.16
2026-05-15 02:35:00,3,441.05,683.34,31.64,230.41,271.55,0.99,130.34,157.98,91.9
2026-05-15 02:40:00,3,441.05,683.34,32.43,217.63,209.99,1.57,100.79,148.52,91.65
2026-05-15 02:45:00,3,441.05,683.34,33.07,216.34,220.3,1.42,105.75,148.69,91.4
2026-05-15 02:50:00,3,441.05,683.34,32.61,220.16,280.2,0.89,134.5,155.19,91.14
2026-05-15 02:55:00,3,441.05,683.34,32.6,219.07,221.41,1.42,106.28,149.75,90.89
2026-05-15 03:00:00,3,441.05,683.34,32.98,209.5,235.78,1.2,113.18,147.32,90.65
2026-05-15 03:05:00,3,441.05,683.34,32.68,206.82,275.25,0.87,132.12,149.9,90.4
2026-05-15 03:10:00,3,441.05,683.34,33.22,220.22,324.66,0.67,155.84,160.34,90.13
2026-05-15 03:15:00,3,441.05,683.34,32.68,214.38,262.67,0.99,126.08,151.39,89.88
2026-05-15 03:20:00,3,441.05,683.34,31.92,196.89,292.23,0.73,140.27,148.15,89.63
2026-05-15 03:25:00,3,441.05,683.34,33.41,212.89,210.74,1.53,101.16,146.85,89.39
2026-05-15 03:30:00,3,441.05,683.34,34.3,210.26,308.28,0.7,147.98,154.77,89.13
2026-05-15 03:35:00,3,441.05,683.34,34.07,196.13,246.04,1.03,118.1,143.33,88.89
2026-05-15 03:40:00,3,441.05,683.34,34.65,203.23,293.55,0.75,140.9,150.57,88.64
2026-05-15 03:45:00,3,441.05,683.34,34.29,193.51,209.8,1.4,100.71,139.73,88.41
2026-05-15 03:50:00,3,441.05,683.34,34.57,187.88,226.68,1.16,108.8,138.8,88.17
2026-05-15 03:55:00,3,441.05,683.34,34.03,179.88,274.64,0.76,131.83,140.19,87.94
2026-05-15 04:00:00,3,441.05,683.34,33.89,178.32,250.62,0.9,120.3,137.31,87.71
2026-05-15 04:05:00,3,441.05,683.34,35.16,179.44,310.53,0.59,149.06,144.05,87.47
2026-05-15 04:10:00,3,441.05,683.34,34.76,168.75,206.04,1.27,98.9,130.48,87.25
2026-05-15 04:15:00,3,441.05,683.34,34.36,174.39,310.94,0.57,149.25,142.3,87.02
2026-05-15 04:20:00,3,441.05,683.34,35.33,173.63,233.64,1.01,112.15,134.18,86.79
2026-05-15 04:25:00,3,441.05,683.34,35.01,162.0,313.34,0.53,150.4,138.19,86.56
2026-05-15 04:30:00,3,441.05,683.34,34.95,163.9,283.61,0.65,136.13,135.41,86.34
