datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,4,708.16,361.14,30.83,182.79,227.65,1.12,109.27,137.03,99.77
2026-05-15 00:05:00,4,708.16,361.14,30.87,186.19,218.72,1.24,104.98,137.63,99.54
2026-05-15 00:10:00,4,708.16,361.14,30.64,181.53,263.34,0.83,126.4,139.64,99.31
2026-05-15 00:15:00,4,708.16,361.14,31.48,178.33,226.5,1.11,108.72,135.34,99.08
2026-05-15 00:20:00,4,708.16,361.14,30.93,189.76,280.49,0.77,134.64,144.34,98.84
2026-05-15 00:25:00,4,708.16,361.14,31.09,192.68,234.62,1.11,112.62,141.14,98.61
2026-05-15 00:30:00,4,708.16,361.14,30.49,203.99,287.77,0.78,138.13,150.19,98.36
2026-05-15 00:35:00,4,708.16,361.14,31.34,199.68,261.45,0.93,125.5,145.99,98.11
2026-05-15 00:40:00,4,708.16,361.14,31.06,193.88,305.27,0.66,146.53,148.57,97.87
2026-05-15 00:45:00,4,708.16,361.14,31.18,193.57,305.13,0.66,146.46,148.44,97.62
2026-05-15 00:50:00,4,708.16,361.14,31.26,202.92,296.28,0.74,142.21,150.77,97.37
2026-05-15 00:55:00,4,708.16,361.14,31.4,209.66,239.21,1.17,114.82,147.65,97.12
2026-05-15 01:00:00,4,708.16,361.14,30.58,204.19,264.06,0.93,126.75,147.85,96.88
2026-05-15 01:05:00,4,708.16,361.14,32.13,215.8,291.03,0.81,139.69,154.78,96.62
2026-05-15 01:10:00,4,708.16,361.14,32.25,207.92,236.48,1.18,113.51,146.79,96.37
2026-05-15 01:15:00,4,708.16,361.14,32.09,202.1,236.36,1.15,113.45,144.68,96.13
2026-05-15 01:20:00,4,708.16,361.14,31.16,203.31,299.64,0.72,143.83,151.28,95.88
2026-05-15 01:25:00,4,708.16,361.14,31.26,212.96,210.97,1.52,101.27,146.87,95.64
2026-05-15 01:30:00,4,708.16,361.14,31.29,211.63,301.76,0.74,144.85,154.5,95.38
2026-05-15 01:35:00,4,708.16,361.14,31.79,219.07,248.75,1.13,119.4,151.83,95.12
2026-05-15 01:40:00,4,708.16,361.14,32.24,222.37,236.23,1.27,113.39,152.01,94.87
2026-05-15 01:45:00,4,708.16,361.14,31.83,211.15,318.86,0.66,153.05,156.37,94.61
2026-05-15 01:50:00,4,708.16,361.14,31.68,206.95,270.95,0.9,130.06,149.52,94.36
2026-05-15 01:55:00,4,708.16,361.14,31.43,219.09,286.92,0.85,137.72,155.52,94.1
2026-05-15 02:00:00,4,708.16,361.14,31.99,213.39,320.85,0.66,154.01,157.42,93.84
2026-05-15 02:05:00,4,708.16,361.14,31.24,209.52,245.88,1.1,118.02,148.13,93.59
2026-05-15 02:10:00,4,708.16,361.14,31.98,210.6,285.33,0.82,136.96,152.3,93.34
2026-05-15 02:15:00,4,708.16,361.14,32.14,216.3,236.5,1.23,113.52,149.83,93.09
