datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,0,150.0,300.0,30.9,17.0,251.81,0.09,118.38,76.94,99.87
2026-05-15 00:00:00,1,243.18,308.3,30.9,35.0,226.27,0.22,106.38,81.08,99.86
2026-05-15 00:00:00,2,197.03,121.46,30.9,35.0,264.18,0.16,124.2,84.65,99.86
2026-05-15 00:00:00,3,-348.57,151.37,30.9,0.0,224.53,0.0,105.56,68.23,99.88
2026-05-15 00:00:00,4,-550.0,258.75,30.9,0.0,247.37,0.0,116.3,70.37,99.88
2026-05-15 00:00:00,5,-550.0,451.19,30.9,0.0,194.56,0.0,91.47,65.73,99.89
2026-05-15 00:00:00,6,150.48,-338.08,30.9,0.0,261.35,0.0,122.86,71.79,99.88
2026-05-15 00:00:00,7,597.22,228.12,30.9,41.0,221.5,0.27,104.13,82.85,99.86
2026-05-15 00:00:00,8,690.0,300.0,30.9,53.0,259.87,0.25,122.17,90.68,99.85
2026-05-15 00:00:00,9,179.14,281.88,30.9,2.0,255.36,0.01,120.05,71.89,99.88
2026-05-15 00:00:00,10,-18.36,737.5,30.9,16.0,187.34,0.15,88.07,71.08,99.88
2026-05-15 00:00:00,11,-41.2,422.4,30.9,14.0,262.11,0.06,123.22,76.89,99.87
2026-05-15 00:00:00,12,534.21,-184.21,30.9,2.0,285.34,0.01,134.14,75.12,99.87
2026-05-15 00:00:00,13,450.0,-188.81,30.9,2.0,247.15,0.01,116.19,71.07,99.88
2026-05-15 00:00:00,14,200.0,250.0,30.9,9.0,229.33,0.05,107.81,71.91,99.88
2026-05-15 00:05:00,0,150.0,300.0,32.13,13.0,264.8,0.06,124.49,76.82,99.74
2026-05-15 00:05:00,1,243.18,308.3,32.13,24.0,226.33,0.15,106.4,77.09,99.73
2026-05-15 00:05:00,2,197.03,121.46,32.13,35.0,273.58,0.15,128.61,85.64,99.71
2026-05-15 00:05:00,3,-348.57,151.37,32.13,0.0,271.53,0.0,127.65,72.87,99.76
2026-05-15 00:05:00,4,-550.0,258.75,32.13,0.0,277.95,0.0,130.67,73.57,99.75
2026-05-15 00:05:00,5,-550.0,451.19,32.13,0.0,268.77,0.0,126.35,72.57,99.76
2026-05-15 00:05:00,6,150.48,-338.08,32.13,0.0,286.31,0.0,134.6,74.51,99.75
2026-05-15 00:05:00,7,597.22,228.12,32.13,50.0,242.9,0.27,114.19,87.98,99.71
2026-05-15 00:05:00,8,690.0,300.0,32.13,45.0,241.0,0.25,113.3,86.01,99.7
2026-05-15 00:05:00,9,179.14,281.88,32.13,1.0,277.95,0.0,130.67,73.92,99.75
2026-05-15 00:05:00,10,-18.36,737.5,32.13,40.0,275.07,0.17,129.32,87.6,99.73
2026-05-15 00:05:00,11,-41.2,422.4,32.13,12.0,301.68,0.04,141.82,80.59,99.73
2026-05-15 00:05:00,12,534.21,-184.21,32.13,2.0,232.8,0.01,109.45,69.71,99.75
2026-05-15 00:05:00,13,450.0,-188.81,32.13,0.0,243.91,0.0,114.67,70.04,99.76
2026-05-15 00:05:00,14,200.0,250.0,32.13,7.0,293.09,0.03,137.79,77.8,99.74
2026-05-15 00:10:00,0,150.0,300.0,31.04,20.0,257.42,0.1,121.02,78.58,99.6
2026-05-15 00:10:00,1,243.18,308.3,31.04,23.0,234.57,0.13,110.27,77.46,99.6
2026-05-15 00:10:00,2,197.03,121.46,31.04,28.0,283.45,0.11,133.26,84.2,99.57
2026-05-15 00:10:00,3,-348.57,151.37,31.04,0.0,227.63,0.0,107.01,68.51,99.64
2026-05-15 00:10:00,4,-550.0,258.75,31.04,0.0,256.91,0.0,120.78,71.33,99.63
2026-05-15 00:10:00,5,-550.0,451.19,31.04,0.0,291.67,0.0,137.12,75.12,99.64
2026-05-15 00:10:00,6,150.48,-338.08,31.04,0.0,231.77,0.0,108.96,68.89,99.63
2026-05-15 00:10:00,7,597.22,228.12,31.04,45.0,262.66,0.21,123.48,88.09,99.56
2026-05-15 00:10:00,8,690.0,300.0,31.04,63.0,282.09,0.25,132.61,96.58,99.53
2026-05-15 00:10:00,9,179.14,281.88,31.04,1.0,266.96,0.0,125.5,72.73,99.63
2026-05-15 00:10:00,10,-18.36,737.5,31.04,22.0,189.58,0.19,89.12,73.43,99.6
2026-05-15 00:10:00,11,-41.2,422.4,31.04,8.0,239.46,0.04,112.57,72.49,99.61
2026-05-15 00:10:00,12,534.21,-184.21,31.04,1.0,224.48,0.01,105.53,68.59,99.64
2026-05-15 00:10:00,13,450.0,-188.81,31.04,2.0,270.43,0.01,127.13,73.47,99.63
2026-05-15 00:10:00,14,200.0,250.0,31.04,6.0,300.27,0.02,141.16,78.28,99.61
2026-05-15 00:15:00,0,150.0,300.0,31.53,17.0,258.06,0.08,121.32,77.56,99.47
2026-05-15 00:15:00,1,243.18,308.3,31.53,28.0,266.16,0.13,125.13,82.35,99.46
2026-05-15 00:15:00,2,197.03,121.46,31.53,37.0,339.29,0.1,159.51,94.25,99.4
2026-05-15 00:15:00,3,-348.57,151.37,31.53,0.0,270.47,0.0,127.15,72.75,99.52
2026-05-15 00:15:00,4,-550.0,258.75,31.53,0.0,222.45,0.0,104.58,68.05,99.52
2026-05-15 00:15:00,5,-550.0,451.19,31.53,0.0,301.63,0.0,141.8,76.3,99.5
2026-05-15 00:15:00,6,150.48,-338.08,31.53,0.0,254.86,0.0,119.81,71.12,99.51
2026-05-15 00:15:00,7,597.22,228.12,31.53,32.0,238.21,0.18,111.99,81.05,99.42
2026-05-15 00:15:00,8,690.0,300.0,31.53,63.0,270.74,0.27,127.28,95.37,99.37
2026-05-15 00:15:00,9,179.14,281.88,31.53,2.0,200.46,0.02,94.24,66.94,99.51
2026-05-15 00:15:00,10,-18.36,737.5,31.53,45.0,309.28,0.15,145.4,93.28,99.44
2026-05-15 00:15:00,11,-41.2,422.4,31.53,11.0,252.31,0.06,118.62,74.84,99.48
2026-05-15 00:15:00,12,534.21,-184.21,31.53,2.0,262.88,0.01,123.59,72.67,99.51
2026-05-15 00:15:00,13,450.0,-188.81,31.53,1.0,247.14,0.01,116.18,70.72,99.51
2026-05-15 00:15:00,14,200.0,250.0,31.53,5.0,259.61,0.02,122.05,73.4,99.48
2026-05-15 00:20:00,0,150.0,300.0,31.97,16.0,268.62,0.07,126.28,78.3,99.34
2026-05-15 00:20:00,1,243.18,308.3,31.97,29.0,214.36,0.2,100.78,77.89,99.32
2026-05-15 00:20:00,2,197.03,121.46,31.97,24.0,316.72,0.08,148.9,86.72,99.26
2026-05-15 00:20:00,3,-348.57,151.37,31.97,0.0,253.41,0.0,119.13,70.98,99.4
2026-05-15 00:20:00,4,-550.0,258.75,31.97,0.0,225.48,0.0,106.0,68.32,99.4
2026-05-15 00:20:00,5,-550.0,451.19,31.97,0.0,237.08,0.0,111.46,69.38,99.39
2026-05-15 00:20:00,6,150.48,-338.08,31.97,0.0,275.41,0.0,129.47,73.29,99.39
2026-05-15 00:20:00,7,597.22,228.12,31.97,37.0,257.32,0.18,120.97,84.68,99.27
2026-05-15 00:20:00,8,690.0,300.0,31.97,49.0,224.14,0.31,105.37,85.97,99.22
2026-05-15 00:20:00,9,179.14,281.88,31.97,1.0,214.12,0.01,100.66,67.69,99.4
2026-05-15 00:20:00,10,-18.36,737.5,31.97,43.0,309.48,0.14,145.49,92.58,99.29
2026-05-15 00:20:00,11,-41.2,422.4,31.97,11.0,240.99,0.06,113.29,73.72,99.35
2026-05-15 00:20:00,12,534.21,-184.21,31.97,1.0,217.72,0.01,102.35,68.0,99.39
2026-05-15 00:20:00,13,450.0,-188.81,31.97,0.0,274.15,0.0,128.88,73.15,99.39
2026-05-15 00:20:00,14,200.0,250.0,31.97,4.0,257.79,0.02,121.19,72.86,99.36
2026-05-15 00:25:00,0,150.0,300.0,30.62,25.0,246.1,0.13,115.69,79.26,99.2
2026-05-15 00:25:00,1,243.18,308.3,30.62,38.0,282.65,0.15,132.88,87.69,99.17
2026-05-15 00:25:00,2,197.03,121.46,30.62,27.0,231.47,0.16,108.82,78.63,99.12
2026-05-15 00:25:00,3,-348.57,151.37,30.62,0.0,237.44,0.0,111.63,69.42,99.28
2026-05-15 00:25:00,4,-550.0,258.75,30.62,0.0,252.65,0.0,118.78,70.9,99.28
2026-05-15 00:25:00,5,-550.0,451.19,30.62,0.0,268.21,0.0,126.09,72.51,99.26
2026-05-15 00:25:00,6,150.48,-338.08,30.62,0.0,259.68,0.0,122.08,71.61,99.26
2026-05-15 00:25:00,7,597.22,228.12,30.62,29.0,163.21,0.35,76.73,74.35,99.15
2026-05-15 00:25:00,8,690.0,300.0,30.62,85.0,284.59,0.33,133.79,104.72,99.04
2026-05-15 00:25:00,9,179.14,281.88,30.62,3.0,266.66,0.01,125.36,73.41,99.27
2026-05-15 00:25:00,10,-18.36,737.5,30.62,32.0,248.89,0.16,117.01,82.04,99.15
2026-05-15 00:25:00,11,-41.2,422.4,30.62,15.0,299.71,0.05,140.9,81.42,99.21
2026-05-15 00:25:00,12,534.21,-184.21,30.62,5.0,260.23,0.02,122.34,73.46,99.27
2026-05-15 00:25:00,13,450.0,-188.81,30.62,1.0,291.52,0.0,137.05,75.46,99.26
2026-05-15 00:25:00,14,200.0,250.0,30.62,5.0,265.0,0.02,124.58,73.96,99.23
2026-05-15 00:30:00,0,150.0,300.0,31.38,15.0,309.93,0.05,145.71,82.66,99.06
2026-05-15 00:30:00,1,243.18,308.3,31.38,30.0,277.6,0.12,130.5,84.27,99.03
2026-05-15 00:30:00,2,197.03,121.46,31.38,43.0,244.9,0.23,115.13,85.64,98.97
2026-05-15 00:30:00,3,-348.57,151.37,31.38,0.0,294.17,0.0,138.29,75.41,99.15
2026-05-15 00:30:00,4,-550.0,258.75,31.38,0.0,233.68,0.0,109.86,69.06,99.16
2026-05-15 00:30:00,5,-550.0,451.19,31.38,0.0,240.27,0.0,112.96,69.69,99.14
2026-05-15 00:30:00,6,150.48,-338.08,31.38,0.0,251.51,0.0,118.24,70.79,99.14
2026-05-15 00:30:00,7,597.22,228.12,31.38,57.0,262.61,0.26,123.46,92.39,98.99
2026-05-15 00:30:00,8,690.0,300.0,31.38,74.0,273.4,0.32,128.53,99.61,98.87
2026-05-15 00:30:00,9,179.14,281.88,31.38,3.0,279.96,0.01,131.61,74.86,99.14
2026-05-15 00:30:00,10,-18.36,737.5,31.38,47.0,276.25,0.2,129.87,90.23,98.99
2026-05-15 00:30:00,11,-41.2,422.4,31.38,11.0,293.93,0.04,138.18,79.32,99.08
2026-05-15 00:30:00,12,534.21,-184.21,31.38,3.0,279.73,0.01,131.51,74.84,99.14
2026-05-15 00:30:00,13,450.0,-188.81,31.38,1.0,249.03,0.01,117.07,70.91,99.14
2026-05-15 00:30:00,14,200.0,250.0,31.38,4.0,263.31,0.02,123.79,73.43,99.11
2026-05-15 00:35:00,0,150.0,300.0,30.98,15.0,223.75,0.1,105.19,73.61,98.93
2026-05-15 00:35:00,1,243.18,308.3,30.98,31.0,242.25,0.17,113.88,81.06,98.89
2026-05-15 00:35:00,2,197.03,121.46,30.98,31.0,278.9,0.13,131.12,84.79,98.83
2026-05-15 00:35:00,3,-348.57,151.37,30.98,0.0,296.98,0.0,139.62,75.75,99.02
2026-05-15 00:35:00,4,-550.0,258.75,30.98,0.0,245.98,0.0,115.64,70.24,99.04
2026-05-15 00:35:00,5,-550.0,451.19,30.98,0.0,280.99,0.0,132.1,73.91,99.02
2026-05-15 00:35:00,6,150.48,-338.08,30.98,0.0,230.29,0.0,108.26,68.75,99.02
2026-05-15 00:35:00,7,597.22,228.12,30.98,58.0,261.79,0.27,123.07,92.67,98.83
2026-05-15 00:35:00,8,690.0,300.0,30.98,31.0,176.96,0.32,83.19,75.92,98.74
2026-05-15 00:35:00,9,179.14,281.88,30.98,1.0,247.51,0.01,116.36,70.76,99.02
2026-05-15 00:35:00,10,-18.36,737.5,30.98,29.0,233.77,0.17,109.9,79.56,98.86
2026-05-15 00:35:00,11,-41.2,422.4,30.98,11.0,222.84,0.07,104.76,72.07,98.96
2026-05-15 00:35:00,12,534.21,-184.21,30.98,3.0,259.43,0.01,121.96,72.66,99.02
2026-05-15 00:35:00,13,450.0,-188.81,30.98,1.0,221.82,0.01,104.28,68.36,99.02
2026-05-15 00:35:00,14,200.0,250.0,30.98,6.0,264.73,0.03,124.45,74.3,98.98
2026-05-15 00:40:00,0,150.0,300.0,31.03,24.0,265.12,0.11,124.64,80.8,98.8
2026-05-15 00:40:00,1,243.18,308.3,31.03,24.0,232.57,0.14,109.33,77.64,98.76
2026-05-15 00:40:00,2,197.03,121.46,31.03,31.0,269.81,0.14,126.84,83.81,98.69
2026-05-15 00:40:00,3,-348.57,151.37,31.03,0.0,257.98,0.0,121.28,71.44,98.9
2026-05-15 00:40:00,4,-550.0,258.75,31.03,0.0,239.65,0.0,112.66,69.63,98.92
2026-05-15 00:40:00,5,-550.0,451.19,31.03,0.0,288.36,0.0,135.56,74.74,98.89
2026-05-15 00:40:00,6,150.48,-338.08,31.03,0.0,228.68,0.0,107.51,68.6,98.91
2026-05-15 00:40:00,7,597.22,228.12,31.03,39.0,264.38,0.18,124.29,86.12,98.68
2026-05-15 00:40:00,8,690.0,300.0,31.03,42.0,234.89,0.24,110.43,84.36,98.6
2026-05-15 00:40:00,9,179.14,281.88,31.03,2.0,213.16,0.01,100.21,67.96,98.91
2026-05-15 00:40:00,10,-18.36,737.5,31.03,35.0,261.33,0.16,122.85,84.35,98.71
2026-05-15 00:40:00,11,-41.2,422.4,31.03,17.0,289.92,0.06,136.3,80.99,98.82
2026-05-15 00:40:00,12,534.21,-184.21,31.03,3.0,266.42,0.01,125.25,73.39,98.89
2026-05-15 00:40:00,13,450.0,-188.81,31.03,1.0,217.79,0.01,102.39,68.01,98.9
2026-05-15 00:40:00,14,200.0,250.0,31.03,8.0,235.98,0.05,110.94,72.18,98.86
2026-05-15 00:45:00,0,150.0,300.0,30.92,13.0,212.04,0.09,99.68,71.87,98.67
2026-05-15 00:45:00,1,243.18,308.3,30.92,48.0,271.08,0.21,127.44,90.04,98.6
2026-05-15 00:45:00,2,197.03,121.46,30.92,40.0,283.32,0.16,133.19,88.49,98.54
2026-05-15 00:45:00,3,-348.57,151.37,30.92,0.0,253.43,0.0,119.14,70.98,98.78
2026-05-15 00:45:00,4,-550.0,258.75,30.92,0.0,228.6,0.0,107.47,68.6,98.8
2026-05-15 00:45:00,5,-550.0,451.19,30.92,0.0,297.53,0.0,139.87,75.81,98.76
2026-05-15 00:45:00,6,150.48,-338.08,30.92,0.0,253.67,0.0,119.26,71.0,98.79
2026-05-15 00:45:00,7,597.22,228.12,30.92,44.0,269.89,0.19,126.88,88.47,98.53
2026-05-15 00:45:00,8,690.0,300.0,30.92,57.0,223.83,0.36,105.23,88.84,98.45
2026-05-15 00:45:00,9,179.14,281.88,30.92,6.0,261.36,0.03,122.87,73.95,98.78
2026-05-15 00:45:00,10,-18.36,737.5,30.92,37.0,274.9,0.16,129.23,86.5,98.56
2026-05-15 00:45:00,11,-41.2,422.4,30.92,13.0,224.03,0.08,105.32,72.89,98.69
2026-05-15 00:45:00,12,534.21,-184.21,30.92,0.0,296.24,0.0,139.27,75.66,98.76
2026-05-15 00:45:00,13,450.0,-188.81,30.92,1.0,259.7,0.0,122.09,71.97,98.78
2026-05-15 00:45:00,14,200.0,250.0,30.92,9.0,223.78,0.06,105.2,71.43,98.74
2026-05-15 00:50:00,0,150.0,300.0,31.7,25.0,241.45,0.14,113.51,78.83,98.54
2026-05-15 00:50:00,1,243.18,308.3,31.7,41.0,245.14,0.22,115.25,84.95,98.46
2026-05-15 00:50:00,2,197.03,121.46,31.7,24.0,249.84,0.12,117.45,79.26,98.4
2026-05-15 00:50:00,3,-348.57,151.37,31.7,0.0,233.31,0.0,109.68,69.03,98.66
2026-05-15 00:50:00,4,-550.0,258.75,31.7,0.0,265.89,0.0,125.0,72.27,98.68
2026-05-15 00:50:00,5,-550.0,451.19,31.7,0.0,234.38,0.0,110.18,69.13,98.64
2026-05-15 00:50:00,6,150.48,-338.08,31.7,0.0,244.5,0.0,114.94,70.09,98.67
2026-05-15 00:50:00,7,597.22,228.12,31.7,57.0,225.56,0.36,106.04,88.99,98.38
2026-05-15 00:50:00,8,690.0,300.0,31.7,62.0,260.98,0.29,122.69,94.03,98.29
2026-05-15 00:50:00,9,179.14,281.88,31.7,0.0,205.8,0.0,96.75,66.63,98.67
2026-05-15 00:50:00,10,-18.36,737.5,31.7,36.0,259.0,0.17,121.76,84.49,98.42
2026-05-15 00:50:00,11,-41.2,422.4,31.7,20.0,247.85,0.1,116.52,77.62,98.56
2026-05-15 00:50:00,12,534.21,-184.21,31.7,4.0,238.97,0.02,112.34,71.0,98.64
2026-05-15 00:50:00,13,450.0,-188.81,31.7,1.0,275.67,0.0,129.6,73.67,98.66
2026-05-15 00:50:00,14,200.0,250.0,31.7,4.0,251.92,0.02,118.43,72.27,98.61
2026-05-15 00:55:00,0,150.0,300.0,32.02,16.0,239.27,0.09,112.48,75.37,98.41
2026-05-15 00:55:00,1,243.18,308.3,32.02,44.0,260.57,0.21,122.5,87.53,98.31
2026-05-15 00:55:00,2,197.03,121.46,32.02,33.0,258.34,0.16,121.45,83.35,98.26
