datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,12,534.21,-184.21,30.9,2.0,285.34,0.01,134.14,75.12,99.87
2026-05-15 00:05:00,12,534.21,-184.21,32.13,2.0,232.8,0.01,109.45,69.71,99.75
2026-05-15 00:10:00,12,534.21,-184.21,31.04,1.0,224.48,0.01,105.53,68.59,99.64
2026-05-15 00:15:00,12,534.21,-184.21,31.53,2.0,262.88,0.01,123.59,72.67,99.51
2026-05-15 00:20:00,12,534.21,-184.21,31.97,1.0,217.72,0.01,102.35,68.0,99.39
2026-05-15 00:25:00,12,534.21,-184.21,30.62,5.0,260.23,0.02,122.34,73.46,99.27
2026-05-15 00:30:00,12,534.21,-184.21,31.38,3.0,279.73,0.01,131.51,74.84,99.14
2026-05-15 00:35:00,12,534.21,-184.21,30.98,3.0,259.43,0.01,121.96,72.66,99.02
2026-05-15 00:40:00,12,534.21,-184.21,31.03,3.0,266.42,0.01,125.25,73.39,98.89
2026-05-15 00:45:00,12,534.21,-184.21,30.92,0.0,296.24,0.0,139.27,75.66,98.76
2026-05-15 00:50:00,12,534.21,-184.21,31.7,4.0,238.97,0.02,112.34,71.0,98.64
2026-05-15 00:55:00,12,534.21,-184.21,32.02,0.0,203.7,0.0,95.76,66.46,98.53
2026-05-15 01:00:00,12,534.21,-184.21,31.74,4.0,276.47,0.02,129.97,74.85,98.4
2026-05-15 01:05:00,12,534.21,-184.21,31.28,5.0,308.4,0.02,144.98,78.91,98.26
2026-05-15 01:10:00,12,534.21,-184.21,30.87,5.0,239.57,0.03,112.63,71.43,98.14
2026-05-15 01:15:00,12,534.21,-184.21,31.76,4.0,292.47,0.01,137.49,76.64,98.01
2026-05-15 01:20:00,12,534.21,-184.21,32.24,0.0,253.53,0.0,119.19,70.99,97.89
2026-05-15 01:25:00,12,534.21,-184.21,31.29,5.0,235.74,0.03,110.83,71.07,97.77
2026-05-15 01:30:00,12,534.21,-184.21,31.5,0.0,255.03,0.0,119.9,71.14,97.65
2026-05-15 01:35:00,12,534.21,-184.21,31.25,4.0,227.15,0.02,106.79,69.91,97.53
2026-05-15 01:40:00,12,534.21,-184.21,31.69,3.0,234.06,0.02,110.03,70.19,97.41
2026-05-15 01:45:00,12,534.21,-184.21,31.36,1.0,206.03,0.01,96.86,67.02,97.29
2026-05-15 01:50:00,12,534.21,-184.21,31.41,2.0,301.28,0.01,141.64,76.98,97.16
2026-05-15 01:55:00,12,534.21,-184.21,32.21,2.0,265.53,0.01,124.83,72.95,97.04
2026-05-15 02:00:00,12,534.21,-184.21,31.57,0.0,248.74,0.0,116.94,70.51,96.92
2026-05-15 02:05:00,12,534.21,-184.21,32.5,4.0,247.2,0.02,116.21,71.8,96.79
2026-05-15 02:10:00,12,534.21,-184.21,31.32,0.0,257.02,0.0,120.83,71.34,96.67
2026-05-15 02:15:00,12,534.21,-184.21,32.3,4.0,243.19,0.02,114.33,71.41,96.55
2026-05-15 02:20:00,12,534.21,-184.21,32.67,2.0,293.62,0.01,138.03,76.07,96.42
2026-05-15 02:25:00,12,534.21,-184.21,32.79,0.0,258.1,0.0,121.34,71.46,96.3
2026-05-15 02:30:00,12,534.21,-184.21,32.35,3.0,309.73,0.01,145.61,78.36,96.16
2026-05-15 02:35:00,12,534.21,-184.21,32.6,4.0,249.44,0.02,117.26,72.02,96.04
2026-05-15 02:40:00,12,534.21,-184.21,32.12,1.0,262.44,0.0,123.38,72.25,95.92
2026-05-15 02:45:00,12,534.21,-184.21,32.87,3.0,282.83,0.01,132.96,75.19,95.79
2026-05-15 02:50:00,12,534.21,-184.21,33.0,6.0,262.95,0.03,123.62,74.12,95.66
2026-05-15 02:55:00,12,534.21,-184.21,33.31,1.0,277.01,0.0,130.23,73.82,95.54
2026-05-15 03:00:00,12,534.21,-184.21,34.21,3.0,304.44,0.01,143.12,77.71,95.4
2026-05-15 03:05:00,12,534.21,-184.21,33.08,7.0,247.35,0.04,116.29,72.91,95.28
2026-05-15 03:10:00,12,534.21,-184.21,32.63,1.0,264.02,0.0,124.12,72.42,95.15
2026-05-15 03:15:00,12,534.21,-184.21,33.18,4.0,284.77,0.02,133.87,75.77,95.03
2026-05-15 03:20:00,12,534.21,-184.21,33.4,0.0,277.35,0.0,130.39,73.51,94.9
2026-05-15 03:25:00,12,534.21,-184.21,33.68,2.0,299.15,0.01,140.63,76.73,94.77
2026-05-15 03:30:00,12,534.21,-184.21,34.63,0.0,292.63,0.0,137.57,75.24,94.64
2026-05-15 03:35:00,12,534.21,-184.21,34.25,0.0,294.53,0.0,138.46,75.46,94.51
2026-05-15 03:40:00,12,534.21,-184.21,33.59,1.0,264.01,0.0,124.12,72.42,94.39
