datetime,temperature_degC,active_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,30.68,143.74,239.19,0.8,114.81,123.84,99.79
2026-05-15 00:05:00,30.3,161.22,294.35,0.59,141.29,135.64,99.57
2026-05-15 00:10:00,31.42,150.41,301.02,0.53,144.49,132.56,99.35
2026-05-15 00:15:00,31.12,147.17,311.5,0.48,149.52,132.66,99.13
2026-05-15 00:20:00,31.0,155.11,225.44,0.97,108.21,126.83,98.91
2026-05-15 00:25:00,32.09,159.36,240.82,0.87,115.59,129.61,98.7
2026-05-15 00:30:00,32.09,163.76,270.61,0.71,129.89,133.99,98.47
2026-05-15 00:35:00,30.82,163.25,295.42,0.6,141.8,136.5,98.25
2026-05-15 00:40:00,30.54,163.58,216.24,1.11,103.79,129.23,98.03
2026-05-15 00:45:00,30.53,164.1,285.38,0.64,136.98,135.67,97.81
2026-05-15 00:50:00,31.7,161.12,222.73,1.03,106.91,128.81,97.59
2026-05-15 00:55:00,31.26,168.52,235.58,0.97,113.08,132.5,97.37
2026-05-15 01:00:00,31.18,163.49,201.38,1.28,96.66,128.26,97.16
2026-05-15 01:05:00,30.44,168.51,306.59,0.57,147.16,139.67,96.92
2026-05-15 01:10:00,32.07,167.3,220.27,1.1,105.73,130.88,96.71
2026-05-15 01:15:00,31.94,173.42,251.44,0.87,120.69,135.61,96.48
2026-05-15 01:20:00,31.21,178.26,207.21,1.32,99.46,134.0,96.26
2026-05-15 01:25:00,32.26,186.67,256.55,0.9,123.15,140.85,96.02
2026-05-15 01:30:00,32.04,180.16,209.98,1.3,100.79,134.87,95.8
2026-05-15 01:35:00,31.87,177.99,280.98,0.72,134.87,140.17,95.56
2026-05-15 01:40:00,31.62,173.46,300.29,0.61,144.14,140.7,95.33
2026-05-15 01:45:00,31.13,174.41,250.5,0.88,120.24,135.88,95.1
2026-05-15 01:50:00,32.45,183.68,229.57,1.11,110.19,137.5,94.87
2026-05-15 01:55:00,30.93,187.79,201.44,1.47,96.69,137.15,94.64
2026-05-15 02:00:00,31.86,180.84,227.11,1.12,109.01,136.3,94.42
2026-05-15 02:05:00,31.6,171.38,262.33,0.79,125.92,135.9,94.19
2026-05-15 02:10:00,32.25,183.3,257.4,0.88,123.55,139.72,93.96
2026-05-15 02:15:00,31.64,190.47,292.89,0.71,140.59,145.94,93.71
2026-05-15 02:20:00,32.34,183.58,227.35,1.13,109.13,137.3,93.49
2026-05-15 02:25:00,32.34,179.49,295.53,0.65,141.85,142.3,93.25
2026-05-15 02:30:00,32.82,169.28,255.32,0.83,122.55,134.49,93.02
