datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,0,922.32,913.19,31.67,173.28,251.03,0.88,120.49,135.54,99.77
2026-05-15 00:00:00,1,430.35,487.78,31.67,174.81,284.39,0.69,136.51,139.4,99.77
2026-05-15 00:00:00,2,815.51,814.36,31.67,178.17,270.4,0.78,129.79,139.15,99.77
2026-05-15 00:00:00,3,103.85,711.66,31.67,161.63,268.18,0.72,128.73,132.99,99.78
2026-05-15 00:00:00,4,784.6,417.44,31.67,167.44,272.76,0.72,130.92,135.54,99.77
2026-05-15 00:05:00,0,922.32,913.19,30.22,170.32,213.21,1.19,102.34,131.48,99.55
2026-05-15 00:05:00,1,430.35,487.78,30.22,170.13,250.35,0.86,120.17,134.32,99.54
2026-05-15 00:05:00,2,815.51,814.36,30.22,191.12,224.87,1.2,107.94,139.84,99.54
2026-05-15 00:05:00,3,103.85,711.66,30.22,165.21,254.82,0.81,122.31,132.97,99.56
2026-05-15 00:05:00,4,784.6,417.44,30.22,165.07,297.67,0.59,142.88,137.39,99.55
2026-05-15 00:10:00,0,922.32,913.19,30.82,174.75,210.17,1.26,100.88,132.91,99.33
2026-05-15 00:10:00,1,430.35,487.78,30.82,171.36,236.15,0.98,113.35,133.56,99.32
2026-05-15 00:10:00,2,815.51,814.36,30.82,181.66,254.23,0.89,122.03,138.83,99.3
2026-05-15 00:10:00,3,103.85,711.66,30.82,158.15,278.34,0.65,133.61,132.79,99.34
2026-05-15 00:10:00,4,784.6,417.44,30.82,170.9,231.83,1.01,111.28,133.05,99.32
2026-05-15 00:15:00,0,922.32,913.19,29.77,198.19,236.41,1.13,113.48,143.28,99.09
2026-05-15 00:15:00,1,430.35,487.78,29.77,173.62,215.32,1.19,103.35,132.82,99.1
2026-05-15 00:15:00,2,815.51,814.36,29.77,183.6,245.83,0.97,118.0,138.79,99.07
2026-05-15 00:15:00,3,103.85,711.66,29.77,171.57,285.46,0.67,137.02,138.35,99.1
2026-05-15 00:15:00,4,784.6,417.44,29.77,162.49,212.96,1.14,102.22,128.62,99.11
2026-05-15 00:20:00,0,922.32,913.19,30.74,184.01,229.67,1.11,110.24,137.63,98.87
2026-05-15 00:20:00,1,430.35,487.78,30.74,179.8,210.67,1.29,101.12,134.78,98.88
2026-05-15 00:20:00,2,815.51,814.36,30.74,198.51,201.11,1.56,96.53,141.05,98.84
2026-05-15 00:20:00,3,103.85,711.66,30.74,162.1,263.27,0.74,126.37,132.65,98.88
2026-05-15 00:20:00,4,784.6,417.44,30.74,171.33,301.46,0.6,144.7,140.07,98.88
2026-05-15 00:25:00,0,922.32,913.19,30.94,186.56,216.64,1.27,103.99,137.63,98.64
2026-05-15 00:25:00,1,430.35,487.78,30.94,179.56,249.11,0.92,119.57,137.62,98.65
2026-05-15 00:25:00,2,815.51,814.36,30.94,193.47,203.13,1.49,97.5,139.31,98.61
2026-05-15 00:25:00,3,103.85,711.66,30.94,160.02,287.94,0.61,138.21,134.48,98.66
2026-05-15 00:25:00,4,784.6,417.44,30.94,174.0,279.56,0.71,134.19,138.59,98.64
2026-05-15 00:30:00,0,922.32,913.19,31.13,199.31,298.33,0.71,143.2,149.7,98.39
2026-05-15 00:30:00,1,430.35,487.78,31.13,182.5,285.05,0.71,136.83,142.21,98.41
2026-05-15 00:30:00,2,815.51,814.36,31.13,201.91,227.61,1.24,109.25,143.95,98.37
2026-05-15 00:30:00,3,103.85,711.66,31.13,177.2,293.98,0.65,141.11,141.3,98.42
2026-05-15 00:30:00,4,784.6,417.44,31.13,188.54,212.61,1.33,102.05,138.09,98.41
2026-05-15 00:35:00,0,922.32,913.19,31.14,201.03,269.71,0.88,129.46,147.27,98.14
2026-05-15 00:35:00,1,430.35,487.78,31.14,185.01,206.41,1.38,99.08,136.41,98.18
2026-05-15 00:35:00,2,815.51,814.36,31.14,193.73,300.72,0.68,144.34,147.98,98.12
2026-05-15 00:35:00,3,103.85,711.66,31.14,183.66,223.94,1.17,107.49,137.08,98.2
2026-05-15 00:35:00,4,784.6,417.44,31.14,186.5,205.85,1.4,98.81,136.93,98.19
2026-05-15 00:40:00,0,922.32,913.19,30.83,184.2,283.55,0.73,136.1,142.67,97.9
2026-05-15 00:40:00,1,430.35,487.78,30.83,187.17,253.05,0.93,121.46,140.71,97.95
2026-05-15 00:40:00,2,815.51,814.36,30.83,197.27,300.73,0.69,144.35,149.24,97.87
2026-05-15 00:40:00,3,103.85,711.66,30.83,169.43,246.49,0.89,118.31,133.74,97.97
2026-05-15 00:40:00,4,784.6,417.44,30.83,185.51,206.54,1.38,99.14,136.6,97.96
2026-05-15 00:45:00,0,922.32,913.19,30.07,192.68,238.54,1.08,114.5,141.46,97.67
2026-05-15 00:45:00,1,430.35,487.78,30.07,185.38,301.2,0.65,144.57,145.06,97.71
2026-05-15 00:45:00,2,815.51,814.36,30.07,207.7,247.52,1.08,118.81,147.62,97.62
2026-05-15 00:45:00,3,103.85,711.66,30.07,189.27,243.86,1.01,117.05,140.66,97.74
2026-05-15 00:45:00,4,784.6,417.44,30.07,190.47,240.22,1.05,115.3,140.79,97.72
2026-05-15 00:50:00,0,922.32,913.19,30.93,206.32,307.17,0.7,147.44,153.24,97.41
2026-05-15 00:50:00,1,430.35,487.78,30.93,194.03,239.89,1.07,115.15,142.05,97.47
2026-05-15 00:50:00,2,815.51,814.36,30.93,202.09,218.34,1.35,104.8,143.38,97.38
2026-05-15 00:50:00,3,103.85,711.66,30.93,185.17,306.68,0.63,147.21,145.64,97.5
2026-05-15 00:50:00,4,784.6,417.44,30.93,191.08,272.84,0.82,130.97,144.02,97.48
2026-05-15 00:55:00,0,922.32,913.19,31.15,204.66,294.05,0.75,141.14,151.13,97.16
2026-05-15 00:55:00,1,430.35,487.78,31.15,195.25,261.98,0.91,125.75,144.46,97.23
2026-05-15 00:55:00,2,815.51,814.36,31.15,213.74,244.66,1.14,117.44,149.57,97.14
2026-05-15 00:55:00,3,103.85,711.66,31.15,192.4,226.77,1.19,108.85,140.45,97.26
2026-05-15 00:55:00,4,784.6,417.44,31.15,196.22,256.61,0.95,123.17,144.3,97.24
2026-05-15 01:00:00,0,922.32,913.19,31.56,203.2,220.69,1.33,105.93,143.94,96.92
2026-05-15 01:00:00,1,430.35,487.78,31.56,189.95,219.15,1.26,105.19,139.03,97.0
2026-05-15 01:00:00,2,815.51,814.36,31.56,205.18,273.51,0.87,131.29,149.13,96.89
2026-05-15 01:00:00,3,103.85,711.66,31.56,190.04,247.77,0.99,118.93,141.29,97.03
2026-05-15 01:00:00,4,784.6,417.44,31.56,190.6,242.6,1.03,116.45,141.04,97.01
2026-05-15 01:05:00,0,922.32,913.19,31.18,208.49,238.84,1.16,114.64,147.18,96.67
