datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,1,198.07,683.52,31.35,170.48,250.15,0.87,120.07,134.45,99.78
2026-05-15 00:05:00,1,198.07,683.52,31.63,184.95,307.52,0.62,147.61,145.65,99.53
2026-05-15 00:10:00,1,198.07,683.52,30.66,182.25,277.86,0.75,133.37,141.36,99.3
2026-05-15 00:15:00,1,198.07,683.52,31.34,187.97,306.62,0.64,147.18,146.63,99.05
2026-05-15 00:20:00,1,198.07,683.52,31.48,188.93,280.08,0.77,134.44,144.0,98.81
2026-05-15 00:25:00,1,198.07,683.52,30.07,184.51,302.59,0.64,145.24,144.91,98.57
2026-05-15 00:30:00,1,198.07,683.52,30.29,191.9,306.57,0.65,147.15,148.02,98.32
2026-05-15 00:35:00,1,198.07,683.52,31.4,200.52,209.1,1.46,100.37,142.24,98.09
2026-05-15 00:40:00,1,198.07,683.52,30.67,195.41,213.53,1.36,102.49,140.63,97.85
2026-05-15 00:45:00,1,198.07,683.52,30.03,187.86,266.4,0.84,127.87,142.21,97.62
2026-05-15 00:50:00,1,198.07,683.52,30.75,189.02,265.71,0.85,127.54,142.56,97.38
2026-05-15 00:55:00,1,198.07,683.52,30.83,205.09,284.08,0.81,136.36,150.2,97.13
2026-05-15 01:00:00,1,198.07,683.52,30.5,201.03,203.55,1.54,97.7,142.1,96.89
2026-05-15 01:05:00,1,198.07,683.52,30.31,204.91,234.95,1.18,112.78,145.59,96.65
2026-05-15 01:10:00,1,198.07,683.52,30.97,208.04,320.42,0.65,153.8,155.47,96.39
2026-05-15 01:15:00,1,198.07,683.52,32.24,210.7,251.11,1.06,120.53,149.01,96.14
2026-05-15 01:20:00,1,198.07,683.52,30.71,214.63,307.39,0.72,147.55,156.22,95.88
2026-05-15 01:25:00,1,198.07,683.52,30.97,205.86,230.38,1.23,110.58,145.58,95.64
2026-05-15 01:30:00,1,198.07,683.52,31.15,201.83,205.25,1.53,98.52,142.5,95.4
