datetime,tower_id,x_m,y_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,2,197.03,121.46,30.59,29.0,267.05,0.13,128.19,85.26,99.86
2026-05-15 00:05:00,2,197.03,121.46,31.64,26.0,226.85,0.16,108.89,80.16,99.72
2026-05-15 00:10:00,2,197.03,121.46,31.32,20.0,301.39,0.07,144.66,86.04,99.58
2026-05-15 00:15:00,2,197.03,121.46,31.67,31.0,225.05,0.19,108.02,81.8,99.44
2026-05-15 00:20:00,2,197.03,121.46,30.71,28.0,262.8,0.13,126.15,84.45,99.3
2026-05-15 00:25:00,2,197.03,121.46,30.57,38.0,309.93,0.13,148.77,93.54,99.15
2026-05-15 00:30:00,2,197.03,121.46,30.96,31.0,310.3,0.1,148.94,91.08,99.0
2026-05-15 00:35:00,2,197.03,121.46,30.17,43.0,219.3,0.28,105.26,85.65,98.85
2026-05-15 00:40:00,2,197.03,121.46,32.03,36.0,262.0,0.17,125.76,87.24,98.71
2026-05-15 00:45:00,2,197.03,121.46,31.18,29.0,201.54,0.23,96.74,79.1,98.58
2026-05-15 00:50:00,2,197.03,121.46,30.24,23.0,286.59,0.09,137.56,85.32,98.43
2026-05-15 00:55:00,2,197.03,121.46,32.71,32.0,218.3,0.21,104.78,81.57,98.3
2026-05-15 01:00:00,2,197.03,121.46,31.34,52.0,237.54,0.29,114.02,90.55,98.15
2026-05-15 01:05:00,2,197.03,121.46,30.91,32.0,203.23,0.25,97.55,80.33,98.01
2026-05-15 01:10:00,2,197.03,121.46,32.17,46.0,239.74,0.25,115.07,88.58,97.87
2026-05-15 01:15:00,2,197.03,121.46,30.38,32.0,239.99,0.18,115.2,83.57,97.73
2026-05-15 01:20:00,2,197.03,121.46,30.95,22.0,201.38,0.17,96.66,76.51,97.6
2026-05-15 01:25:00,2,197.03,121.46,31.74,31.0,250.28,0.16,120.13,84.22,97.46
2026-05-15 01:30:00,2,197.03,121.46,30.16,44.0,291.04,0.17,139.7,93.37,97.3
2026-05-15 01:35:00,2,197.03,121.46,32.26,45.0,238.06,0.25,114.27,88.07,97.16
2026-05-15 01:40:00,2,197.03,121.46,31.5,31.0,287.88,0.12,138.18,88.34,97.01
2026-05-15 01:45:00,2,197.03,121.46,31.9,26.0,241.29,0.14,115.82,81.52,96.87
2026-05-15 01:50:00,2,197.03,121.46,31.48,39.0,304.19,0.13,146.01,93.16,96.72
2026-05-15 01:55:00,2,197.03,121.46,32.48,34.0,259.34,0.16,124.48,86.23,96.57
2026-05-15 02:00:00,2,197.03,121.46,32.02,39.0,306.96,0.13,147.34,93.51,96.42
2026-05-15 02:05:00,2,197.03,121.46,32.14,26.0,215.42,0.18,103.4,79.15,96.29
2026-05-15 02:10:00,2,197.03,121.46,31.42,37.0,315.2,0.12,151.29,93.86,96.13
2026-05-15 02:15:00,2,197.03,121.46,32.14,42.0,225.41,0.26,108.2,85.82,95.99
2026-05-15 02:20:00,2,197.03,121.46,32.37,27.0,301.71,0.09,144.82,88.57,95.84
2026-05-15 02:25:00,2,197.03,121.46,31.85,34.0,276.73,0.14,132.83,88.13,95.69
2026-05-15 02:30:00,2,197.03,121.46,32.45,34.0,288.14,0.13,138.31,89.44,95.54
2026-05-15 02:35:00,2,197.03,121.46,32.04,40.0,316.23,0.13,151.79,95.06,95.38
2026-05-15 02:40:00,2,197.03,121.46,33.03,30.0,314.09,0.1,150.76,91.22,95.23
2026-05-15 02:45:00,2,197.03,121.46,32.48,30.0,279.65,0.12,134.23,87.02,95.09
2026-05-15 02:50:00,2,197.03,121.46,33.29,33.0,253.69,0.16,121.77,85.28,94.95
2026-05-15 02:55:00,2,197.03,121.46,32.43,38.0,234.91,0.22,112.76,85.25,94.8
2026-05-15 03:00:00,2,197.03,121.46,33.07,40.0,249.16,0.21,119.6,87.36,94.66
2026-05-15 03:05:00,2,197.03,121.46,33.55,47.0,226.63,0.29,108.78,87.75,94.51
2026-05-15 03:10:00,2,197.03,121.46,33.05,35.0,291.42,0.13,139.88,90.19,94.36
2026-05-15 03:15:00,2,197.03,121.46,33.62,37.0,275.48,0.16,132.23,89.08,94.21
2026-05-15 03:20:00,2,197.03,121.46,33.06,26.0,312.67,0.08,150.08,89.6,94.06
2026-05-15 03:25:00,2,197.03,121.46,32.54,28.0,200.92,0.22,96.44,78.68,93.93
2026-05-15 03:30:00,2,197.03,121.46,34.12,34.0,251.94,0.17,120.93,85.47,93.79
2026-05-15 03:35:00,2,197.03,121.46,34.33,31.0,211.35,0.22,101.45,80.62,93.66
2026-05-15 03:40:00,2,197.03,121.46,33.66,41.0,254.46,0.2,122.14,88.25,93.51
2026-05-15 03:45:00,2,197.03,121.46,34.42,36.0,222.15,0.23,106.63,83.36,93.37
2026-05-15 03:50:00,2,197.03,121.46,34.88,27.0,223.17,0.17,107.12,80.19,93.24
2026-05-15 03:55:00,2,197.03,121.46,34.29,27.0,270.26,0.12,129.72,84.91,93.09
2026-05-15 04:00:00,2,197.03,121.46,33.88,28.0,247.87,0.15,118.98,82.91,92.96
2026-05-15 04:05:00,2,197.03,121.46,34.63,22.0,211.02,0.16,101.29,77.33,92.83
2026-05-15 04:10:00,2,197.03,121.46,35.03,41.0,299.71,0.15,143.86,93.35,92.67
2026-05-15 04:15:00,2,197.03,121.46,35.09,33.0,295.87,0.12,142.02,90.01,92.52
2026-05-15 04:20:00,2,197.03,121.46,34.99,17.0,213.46,0.12,102.46,75.71,92.4
2026-05-15 04:25:00,2,197.03,121.46,35.08,28.0,242.6,0.15,116.45,82.38,92.26
2026-05-15 04:30:00,2,197.03,121.46,35.96,24.0,302.51,0.08,145.21,87.61,92.11
2026-05-15 04:35:00,2,197.03,121.46,35.56,33.0,221.48,0.21,106.31,82.21,91.98
2026-05-15 04:40:00,2,197.03,121.46,36.51,22.0,259.37,0.1,124.5,81.92,91.84
2026-05-15 04:45:00,2,197.03,121.46,35.1,25.0,260.75,0.12,125.16,83.16,91.7
2026-05-15 04:50:00,2,197.03,121.46,34.93,28.0,253.96,0.14,121.9,83.53,91.56
2026-05-15 04:55:00,2,197.03,121.46,37.17,26.0,274.5,0.11,131.76,85.02,91.42
2026-05-15 05:00:00,2,197.03,121.46,36.0,20.0,208.95,0.15,100.3,76.43,91.29
2026-05-15 05:05:00,2,197.03,121.46,36.61,20.0,303.53,0.07,145.7,86.32,91.15
2026-05-15 05:10:00,2,197.03,121.46,36.28,22.0,257.03,0.11,123.37,81.69,91.01
2026-05-15 05:15:00,2,197.03,121.46,37.96,25.0,279.98,0.1,134.39,85.28,90.87
2026-05-15 05:20:00,2,197.03,121.46,37.06,20.0,314.06,0.06,150.75,87.65,90.72
2026-05-15 05:25:00,2,197.03,121.46,36.7,13.0,299.32,0.05,143.68,83.3,90.58
2026-05-15 05:30:00,2,197.03,121.46,37.34,19.0,292.53,0.07,140.41,84.61,90.44
2026-05-15 05:35:00,2,197.03,121.46,37.67,22.0,248.75,0.11,119.4,80.83,90.31
2026-05-15 05:40:00,2,197.03,121.46,36.94,21.0,211.64,0.15,101.59,77.01,90.18
2026-05-15 05:45:00,2,197.03,121.46,37.64,23.0,295.66,0.08,141.92,86.41,90.04
2026-05-15 05:50:00,2,197.03,121.46,37.77,22.0,299.74,0.08,143.87,86.57,89.89
2026-05-15 05:55:00,2,197.03,121.46,37.92,22.0,293.01,0.08,140.65,85.74,89.75
2026-05-15 06:00:00,2,197.03,121.46,38.3,16.0,204.8,0.12,98.31,74.62,89.62
2026-05-15 06:05:00,2,197.03,121.46,38.27,12.0,254.39,0.06,122.11,77.82,89.5
2026-05-15 06:10:00,2,197.03,121.46,37.92,16.0,213.27,0.11,102.37,75.33,89.37
2026-05-15 06:15:00,2,197.03,121.46,38.99,16.0,263.57,0.07,126.51,80.22,89.24
2026-05-15 06:20:00,2,197.03,121.46,39.0,24.0,318.32,0.08,152.79,89.65,89.09
2026-05-15 06:25:00,2,197.03,121.46,38.59,8.0,212.3,0.06,101.91,72.35,88.97
2026-05-15 06:30:00,2,197.03,121.46,38.36,16.0,288.16,0.06,138.32,83.02,88.83
2026-05-15 06:35:00,2,197.03,121.46,39.86,12.0,287.34,0.05,137.92,81.5,88.69
2026-05-15 06:40:00,2,197.03,121.46,39.17,11.0,260.39,0.05,124.99,78.09,88.56
2026-05-15 06:45:00,2,197.03,121.46,40.1,13.0,220.72,0.08,105.95,74.89,88.44
2026-05-15 06:50:00,2,197.03,121.46,40.46,10.0,249.92,0.05,119.96,76.63,88.31
2026-05-15 06:55:00,2,197.03,121.46,38.42,9.0,287.83,0.03,138.16,80.47,88.18
2026-05-15 07:00:00,2,197.03,121.46,38.59,16.0,251.08,0.08,120.52,78.91,88.04
2026-05-15 07:05:00,2,197.03,121.46,40.22,13.0,293.12,0.05,140.7,82.55,87.91
2026-05-15 07:10:00,2,197.03,121.46,40.11,4.0,273.03,0.02,131.05,76.98,87.78
2026-05-15 07:15:00,2,197.03,121.46,40.06,8.0,243.83,0.04,117.04,75.29,87.65
2026-05-15 07:20:00,2,197.03,121.46,40.07,13.0,228.34,0.08,109.6,75.6,87.53
2026-05-15 07:25:00,2,197.03,121.46,40.67,7.0,216.3,0.05,103.82,72.33,87.41
